#{"t_start": 1586216439.9052248, "env_id": "my_panda_free_space_traj"}
r,l,t
195.713037,500,14.368152
283.123758,500,25.216792
208.533553,500,35.880521
226.462113,500,46.625952
151.656446,500,57.16221
224.91651,500,67.727197
253.985696,500,78.727235
215.048503,500,89.357734
392.500399,500,99.91822
1297.315591,500,110.689409
1787.114268,500,121.380622
3168.634637,500,132.625695
4122.004266,500,143.794786
4301.977143,500,154.853821
4480.21475,500,166.230478
5413.463418,500,177.325823
5769.981038,500,188.511258
5680.534392,500,199.934458
7110.638675,500,211.219918
6199.72631,500,222.59714
9306.678287,500,233.901004
7479.491396,500,245.286842
9481.065472,500,256.86656
11231.120745,500,268.15105
13372.607163,500,279.719551
15505.329701,500,290.885781
13734.591695,500,302.049574
15426.265872,500,313.489074
14074.964701,500,324.827424
15798.943063,500,335.960605
16102.509807,500,347.214246
17916.512961,500,358.371427
18955.961815,500,369.719224
15301.825099,500,380.77691
20198.391276,500,391.739625
17468.251771,500,402.971775
21513.318615,500,414.065168
23693.180242,500,425.245429
25574.343792,500,435.988622
25773.431786,500,446.966755
26514.163918,500,458.227436
28912.34666,500,469.22784
27134.760291,500,480.241666
32164.512604,500,491.77792
31388.183892,500,502.813146
35193.23487,500,513.817213
34449.100905,500,524.7912
36666.292086,500,535.869382
39697.206462,500,546.804668
42232.16178,500,557.782189
37473.342123,500,568.808784
39189.342752,500,580.111506
41123.440854,500,590.999854
39221.573945,500,602.205754
45027.592812,500,613.268504
48338.593666,500,624.194557
44308.474111,500,635.249288
42279.39583,500,646.415626
48746.369234,500,657.477696
47863.086506,500,668.678472
52782.544803,500,679.839546
51688.019095,500,691.056631
50731.295474,500,702.198173
52556.678703,500,713.056758
50635.337701,500,724.359363
47491.348762,500,735.899925
49971.412837,500,747.149098
53899.801581,500,758.117802
55789.711634,500,768.907947
53889.244462,500,780.10838
53297.762736,500,791.30383
51663.362276,500,802.698709
56653.589585,500,813.638226
50050.123035,500,825.217928
53014.005927,500,836.542604
54107.038512,500,847.531285
57145.692962,500,858.806581
58005.489327,500,869.665384
57294.846283,500,880.730985
57587.109777,500,891.947961
57211.784739,500,902.731388
58651.063949,500,913.552063
57778.99036,500,924.812801
60353.586721,500,935.669995
60238.37273,500,946.611761
59027.593329,500,957.359848
60375.53635,500,968.154927
59518.88594,500,979.257625
59814.500335,500,990.31835
58750.310143,500,1001.682485
59494.467549,500,1012.47959
60206.48057,500,1023.40152
60233.739888,500,1034.43092
59164.542951,500,1045.360145
60376.000975,500,1056.250213
60108.02285,500,1067.581642
59556.05678,500,1078.618384
58506.46324,500,1089.536784
60262.370624,500,1100.424906
59103.390156,500,1111.281262
59418.137237,500,1122.353669
61315.956121,500,1133.127188
60078.731647,500,1144.158473
59260.899248,500,1155.885634
57523.224604,500,1167.423694
58839.671224,500,1179.10136
6672.591602,500,1190.750365
59894.258105,500,1201.884315
60036.305938,500,1213.132295
61106.296882,500,1223.939504
60454.288612,500,1234.950992
60445.831857,500,1245.983201
61029.072382,500,1256.704133
60404.713723,500,1267.507308
60883.044077,500,1278.097474
61362.396572,500,1288.871985
61936.671461,500,1299.987003
61614.120034,500,1311.280433
60449.323308,500,1322.461604
59933.722222,500,1333.096566
60862.591571,500,1344.002892
59581.764469,500,1355.092518
60489.211852,500,1365.825577
61499.524724,500,1376.805991
