#{"env_id": "my_panda_free_space_traj", "t_start": 1583786750.5596166}
r,l,t
1262.370691,1001,38.220119
4718.656472,1001,69.648745
6191.472379,1001,101.421443
6670.966667,1001,132.385754
7715.535378,1001,163.686851
8227.352605,1001,195.227014
8457.965923,1001,226.37202
9167.619891,1001,257.951451
9154.228325,1001,288.834351
9407.066657,1001,320.185173
9816.567307,1001,350.807138
9820.020946,1001,381.640682
9681.4737,1001,412.97015
9997.748156,1001,444.017622
10416.093726,1001,474.999136
10504.6963,1001,506.736452
10489.823343,1001,538.926108
10273.030279,1001,570.898047
10898.747836,1001,604.005131
10546.964768,1001,637.185994
10871.722275,1001,670.820145
11064.128615,1001,705.931324
11041.236357,1001,741.875127
11148.166653,1001,776.53139
11401.291049,1001,812.688322
11617.807494,1001,847.95682
11290.071595,1001,883.37798
11499.607752,1001,919.847361
11644.045552,1001,955.083695
11735.827036,1001,991.032579
11803.113691,1001,1026.564963
11780.885912,1001,1062.455331
11646.323895,1001,1098.385739
12115.370645,1001,1134.492362
12098.346108,1001,1169.851434
11997.229482,1001,1206.068062
12053.826546,1001,1241.897033
11936.724616,1001,1278.044653
11915.386507,1001,1313.726804
12118.477386,1001,1349.691219
11978.887831,1001,1386.308084
12278.515696,1001,1422.396513
11750.143021,1001,1457.750179
12297.101573,1001,1492.656213
12288.639699,1001,1528.619527
12160.603028,1001,1564.164778
12287.07314,1001,1600.390425
12526.349509,1001,1636.722163
12368.894515,1001,1672.572633
12433.284257,1001,1707.929183
12373.508414,1001,1743.173085
12444.09981,1001,1778.950692
12511.728536,1001,1814.379591
12528.195825,1001,1849.68038
12598.938734,1001,1883.903056
12511.056097,1001,1918.456515
12451.414672,1001,1954.536752
12661.430507,1001,1990.100236
12549.552148,1001,2025.615303
12545.87374,1001,2062.165044
12697.656009,1001,2097.97817
12673.558732,1001,2133.742447
12664.639252,1001,2169.552182
12741.435373,1001,2205.435455
12618.66983,1001,2240.611356
12572.197957,1001,2275.905491
12846.386078,1001,2311.518445
12774.592114,1001,2347.171675
12776.029061,1001,2383.75998
12742.647895,1001,2419.690599
12623.336809,1001,2456.199505
12621.708174,1001,2492.370099
12772.609463,1001,2527.516686
12854.296014,1001,2563.174144
12622.603957,1001,2598.802677
12726.090703,1001,2634.639118
12748.84327,1001,2670.531112
12965.233816,1001,2706.11421
12717.56532,1001,2742.089951
12742.03733,1001,2777.870138
12921.627627,1001,2812.874759
12763.107384,1001,2847.306569
12708.525951,1001,2881.79785
12857.667863,1001,2916.8165
12787.8635,1001,2951.497933
12792.902133,1001,2984.758592
12636.535328,1001,3016.881687
13010.645423,1001,3049.218097
