#{"t_start": 1583788665.9849465, "env_id": "my_panda_free_space_traj"}
r,l,t
1354.392289,1001,43.155792
6158.306584,1001,78.347984
7862.850911,1001,112.522539
8039.151877,1001,147.740178
9101.13626,1001,182.576205
9679.500914,1001,217.78903
9854.199197,1001,252.035776
9925.049551,1001,287.741985
9597.817576,1001,322.400392
10093.238097,1001,356.733618
10261.908068,1001,392.001671
10628.186896,1001,426.708948
10946.497405,1001,461.702242
10863.895167,1001,497.936234
10965.39464,1001,534.289969
11300.562516,1001,568.846511
11424.284035,1001,604.569901
11658.416171,1001,639.794528
11507.86334,1001,675.098508
11659.944092,1001,709.959722
11700.808641,1001,745.896904
11759.804799,1001,781.524331
11733.907285,1001,816.856852
11928.845736,1001,852.21505
11808.608364,1001,887.580836
11732.104498,1001,921.672471
11844.681238,1001,955.801542
12217.414652,1001,989.412895
12193.72912,1001,1023.325293
12330.513674,1001,1057.497512
12335.120629,1001,1090.578431
12198.735449,1001,1122.989629
