#{"t_start": 1583774290.626819, "env_id": "my_panda_free_space_traj"}
r,l,t
4149.077875,1001,42.642165
7635.929443,1001,78.12263
9153.952714,1001,113.962844
9482.572208,1001,149.49912
9613.354683,1001,184.721759
10173.117839,1001,219.614832
9881.060119,1001,255.335731
9793.737049,1001,290.662164
10667.834857,1001,324.21485
10388.475916,1001,358.310581
10965.020526,1001,392.917979
10403.243381,1001,428.396271
10394.677421,1001,464.736406
10913.308857,1001,500.338797
11781.317316,1001,534.83563
11526.626359,1001,568.674501
11362.771541,1001,602.563197
11239.558873,1001,637.599409
11384.367419,1001,672.936556
11917.517125,1001,707.899902
12149.664049,1001,742.681203
11846.854672,1001,777.384689
11608.071034,1001,812.290465
