#{"t_start": 1583807044.9835174, "env_id": "my_panda_free_space_traj"}
r,l,t
837.427529,1001,54.052215
1104.475142,1001,101.280089
536.545869,1001,148.579586
689.613872,1001,195.967528
595.886653,1001,243.014164
1098.203907,1001,290.558068
1053.10861,1001,338.08744
928.668253,1001,386.513281
457.858642,1001,434.883095
807.570258,1001,482.11522
577.843748,1001,529.566534
695.78634,1001,577.254008
748.163651,1001,625.122498
957.817249,1001,673.047272
667.658075,1001,720.51906
1188.972938,1001,767.887608
683.840633,1001,815.659189
706.119882,1001,863.886566
1011.938666,1001,911.585671
777.7958,1001,959.230523
927.314203,1001,1007.216335
1322.599744,1001,1055.717028
709.414027,1001,1103.40275
825.359912,1001,1150.804872
751.812515,1001,1199.01098
751.800328,1001,1247.139591
961.055678,1001,1294.596885
1207.442641,1001,1343.530821
559.64485,1001,1391.677354
676.198918,1001,1439.733696
876.272794,1001,1487.902405
693.528368,1001,1535.833281
908.845876,1001,1584.17621
896.034112,1001,1632.679618
979.649061,1001,1681.030766
408.310187,1001,1728.928072
619.307668,1001,1777.260864
1446.700084,1001,1825.216636
600.426406,1001,1872.542931
1073.921659,1001,1920.912423
905.447974,1001,1969.935315
679.502774,1001,2017.22655
729.420768,1001,2064.625414
496.730035,1001,2113.040046
420.011817,1001,2161.623363
562.96934,1001,2210.188623
613.605017,1001,2258.213869
1038.65591,1001,2304.951895
530.177121,1001,2351.582641
541.775431,1001,2399.165651
737.824051,1001,2447.309659
374.881916,1001,2495.416229
584.678614,1001,2544.114422
1029.027235,1001,2591.524753
724.524587,1001,2639.53443
568.143496,1001,2688.808399
820.10788,1001,2736.682327
994.146661,1001,2784.318064
1258.004882,1001,2832.248805
662.492149,1001,2880.078398
921.850709,1001,2927.697869
663.69525,1001,2976.377407
908.970414,1001,3024.77677
346.291483,1001,3072.575728
832.881356,1001,3119.375793
739.752105,1001,3166.723965
538.548256,1001,3214.957278
766.926914,1001,3262.502331
644.051094,1001,3310.044313
691.799499,1001,3357.871581
931.337384,1001,3405.758709
575.76598,1001,3452.891875
378.4469,1001,3500.884382
912.128523,1001,3548.342843
896.085221,1001,3596.197079
1154.790601,1001,3643.691908
1175.801516,1001,3691.354305
1068.468284,1001,3738.693141
1184.948207,1001,3785.714478
886.377039,1001,3833.745826
722.233192,1001,3880.888708
708.757944,1001,3928.111481
925.068487,1001,3976.870687
685.756733,1001,4024.432325
1000.890258,1001,4072.747711
441.631081,1001,4120.517858
775.459229,1001,4168.729812
899.693083,1001,4216.533995
918.45855,1001,4264.585736
879.207117,1001,4312.806005
743.029469,1001,4361.028106
693.776211,1001,4408.863762
1234.623567,1001,4457.368032
436.943475,1001,4505.520552
1079.416949,1001,4553.408686
947.421646,1001,4601.651095
725.752639,1001,4650.32034
750.069145,1001,4698.191607
681.678948,1001,4745.977451
771.725896,1001,4794.212302
670.067114,1001,4842.736428
783.377563,1001,4890.559756
605.644465,1001,4938.557936
579.384251,1001,4986.590783
956.468445,1001,5034.7369
791.82405,1001,5082.46981
528.706979,1001,5130.426031
717.836532,1001,5178.489906
1135.941963,1001,5226.016435
684.308316,1001,5274.126179
1016.202507,1001,5321.963102
1610.8108,1001,5369.726992
549.11938,1001,5417.328966
579.921221,1001,5465.795907
577.119317,1001,5513.667806
1185.80024,1001,5560.868737
794.423738,1001,5607.683003
941.992807,1001,5654.836664
415.708608,1001,5700.102333
716.889772,1001,5745.291065
818.326749,1001,5790.628496
1332.801552,1001,5835.510119
461.861077,1001,5880.248076
841.246181,1001,5924.497829
