#{"env_id": "my_panda_free_space_traj", "t_start": 1583807000.165717}
r,l,t
9602.003811,1001,51.469337
667.033965,1001,95.488002
14.741372,1001,140.531717
12.415891,1001,184.269475
1407.82246,1001,229.676853
3713.047853,1001,273.940079
7168.164694,1001,319.043314
7326.327511,1001,363.076301
6671.270994,1001,407.828496
8511.163133,1001,453.630308
8870.305724,1001,498.957775
8926.198807,1001,544.972152
9739.971892,1001,590.919441
10241.450171,1001,635.784604
10513.25908,1001,680.824729
10400.723544,1001,726.942336
10582.400731,1001,772.04249
11094.837511,1001,817.525416
11425.83844,1001,862.400731
11407.388678,1001,908.299701
11417.695313,1001,952.719396
11748.114709,1001,996.663682
11718.466578,1001,1041.433535
11965.331909,1001,1086.155551
11851.966731,1001,1130.62996
12183.29982,1001,1175.505986
12136.215698,1001,1219.055813
12359.960898,1001,1263.344842
12240.858896,1001,1308.557572
12292.525758,1001,1352.873366
12352.178432,1001,1398.00133
12419.96712,1001,1442.898296
12184.662578,1001,1488.507463
12180.558628,1001,1534.253136
12327.044379,1001,1578.907938
12410.247883,1001,1625.233419
12380.927158,1001,1671.341497
12330.86382,1001,1716.516907
12324.664869,1001,1763.06103
12364.293329,1001,1809.156166
12327.945066,1001,1853.577111
12378.710697,1001,1898.398956
12325.366495,1001,1944.22456
12368.385229,1001,1991.154169
12352.145182,1001,2035.895271
12470.25416,1001,2079.399119
12412.33354,1001,2122.329843
12488.440491,1001,2166.319586
12411.774635,1001,2211.212682
12461.994304,1001,2257.224845
12445.091817,1001,2302.964938
12482.990053,1001,2346.055079
12386.40425,1001,2389.782507
12455.291089,1001,2434.127157
12435.702238,1001,2477.480553
12495.400156,1001,2522.394748
12423.61099,1001,2568.030042
12447.992827,1001,2615.048874
12408.886103,1001,2659.310285
12418.450855,1001,2704.81012
12465.167877,1001,2749.545772
12443.827457,1001,2795.044886
12438.78664,1001,2839.536903
12365.396843,1001,2884.833949
12421.092456,1001,2929.105662
12378.525883,1001,2974.407744
12348.524538,1001,3019.140732
12477.602471,1001,3064.37677
12453.127709,1001,3109.84902
12390.110662,1001,3154.263834
12521.143147,1001,3197.668203
12501.629878,1001,3242.70426
12528.643001,1001,3288.759361
12526.743939,1001,3334.14695
12589.839602,1001,3378.631563
12527.885514,1001,3424.41596
12491.168321,1001,3469.474951
12512.059254,1001,3514.358303
12402.002274,1001,3558.651538
12526.674694,1001,3602.735208
12517.690518,1001,3648.137023
12532.581198,1001,3692.69757
12527.315554,1001,3738.685719
12555.171607,1001,3783.381621
12533.231085,1001,3827.234146
12518.904031,1001,3870.613211
12562.849787,1001,3914.312002
12501.220558,1001,3957.76337
12464.901761,1001,4003.540136
12506.96006,1001,4048.819597
12452.619832,1001,4094.182268
12564.897269,1001,4138.836267
12516.496585,1001,4183.783466
12494.635461,1001,4229.91923
12542.551542,1001,4275.60347
12546.959324,1001,4320.220336
12518.262861,1001,4365.944705
12468.703137,1001,4411.2113
12416.37728,1001,4458.063487
12499.725192,1001,4504.648792
12495.339617,1001,4549.327829
12569.746513,1001,4594.135977
12539.434841,1001,4641.130555
12570.483358,1001,4687.679655
12552.521218,1001,4732.576738
12504.614467,1001,4777.509824
12598.163944,1001,4822.981859
12528.915595,1001,4868.070496
12536.663017,1001,4914.218616
12569.141638,1001,4960.888111
12497.505378,1001,5005.411071
12521.403343,1001,5051.652739
12506.588337,1001,5097.531615
12482.077653,1001,5141.303079
12442.911614,1001,5187.307925
12389.218705,1001,5232.998338
12436.463341,1001,5278.251299
12451.551456,1001,5323.488898
12582.017598,1001,5368.799167
12590.982443,1001,5415.991561
12444.576408,1001,5461.050096
12529.100643,1001,5508.043757
12618.215881,1001,5553.186831
12552.342168,1001,5597.959468
