#{"t_start": 1583790861.1056125, "env_id": "my_panda_free_space_traj"}
r,l,t
8342.666516,1001,42.857981
7864.898465,1001,80.062754
9307.255898,1001,116.918341
9645.646802,1001,153.434319
7764.25831,1001,190.357185
9614.96397,1001,227.937009
9928.35328,1001,264.500981
11231.902747,1001,300.979167
11653.430407,1001,337.292762
10337.509478,1001,374.126504
9630.468527,1001,411.174258
11241.645227,1001,447.830596
9597.225074,1001,485.409041
11325.350202,1001,522.460871
11568.69649,1001,559.693219
12017.740394,1001,597.174125
11920.899363,1001,635.095641
12573.423249,1001,672.942852
12454.134222,1001,710.029309
12611.439,1001,747.227349
11925.448768,1001,785.863539
12463.854521,1001,823.293662
12490.72017,1001,861.058891
12612.274749,1001,899.500123
12653.583545,1001,937.718327
12917.166049,1001,974.735978
13014.996476,1001,1011.785713
12871.290379,1001,1049.673195
12771.397776,1001,1088.266146
12849.636607,1001,1126.889579
13129.817804,1001,1164.060319
12530.571077,1001,1202.211726
12679.988803,1001,1240.481033
12853.160109,1001,1278.607792
12909.949718,1001,1316.830176
12872.362982,1001,1353.821494
13367.345212,1001,1390.581656
13281.362563,1001,1427.102621
13294.85197,1001,1464.208697
13323.543221,1001,1500.923188
12991.922764,1001,1537.307424
13424.917128,1001,1574.135891
13031.747635,1001,1609.766772
12895.409474,1001,1645.500099
13288.742202,1001,1680.991484
12988.348175,1001,1716.432019
12939.099383,1001,1752.122024
12854.784717,1001,1787.31368
12906.395169,1001,1821.632695
13224.34796,1001,1855.939687
13046.369349,1001,1890.9915
13398.651749,1001,1925.177498
13057.525796,1001,1959.99472
13045.698296,1001,1995.013568
13162.532501,1001,2029.837743
13187.872042,1001,2064.783122
13454.740835,1001,2099.424627
13051.029634,1001,2133.939888
13168.30178,1001,2169.407917
13179.654921,1001,2204.408718
13135.764591,1001,2238.534618
13134.848828,1001,2272.807405
13171.140078,1001,2307.632327
13398.876657,1001,2342.041432
13196.846721,1001,2377.456252
13361.918114,1001,2412.039934
13225.460143,1001,2446.893331
13204.284214,1001,2482.046276
13589.085883,1001,2516.009251
13062.538294,1001,2549.932682
13015.962505,1001,2583.190578
13101.738769,1001,2616.987806
13177.914003,1001,2650.578161
13166.787932,1001,2683.694405
13474.158308,1001,2717.501161
13404.463236,1001,2751.143949
13233.306679,1001,2784.325297
13484.887117,1001,2817.372948
13149.378108,1001,2850.288118
13538.414287,1001,2884.068573
13461.299613,1001,2917.148101
13476.14492,1001,2950.155406
13402.907955,1001,2983.345075
13504.97787,1001,3016.954043
13145.261761,1001,3050.680341
13262.996142,1001,3084.6348
13574.245456,1001,3117.674609
13518.78373,1001,3150.929996
13204.121286,1001,3184.990654
13245.447251,1001,3218.734329
13537.896743,1001,3251.631571
13658.046444,1001,3284.438846
13649.095347,1001,3317.520772
13622.799082,1001,3351.136923
13207.909273,1001,3385.050663
13562.77428,1001,3418.110367
13504.611655,1001,3451.642611
13165.613133,1001,3485.142696
13210.750433,1001,3518.442843
13147.885675,1001,3552.208635
13595.726195,1001,3585.397821
13611.866344,1001,3618.522644
13543.131766,1001,3651.171264
13083.305119,1001,3684.362408
13114.239353,1001,3717.975583
13560.334478,1001,3751.359687
13057.262731,1001,3784.555249
13206.05791,1001,3818.230294
13073.982357,1001,3851.414437
13393.110526,1001,3885.158576
13128.801626,1001,3918.832158
13394.533413,1001,3952.327765
13135.626573,1001,3986.350081
13357.977045,1001,4019.904749
13150.580731,1001,4053.194572
13172.090929,1001,4086.827736
13190.441983,1001,4120.291375
13383.010122,1001,4153.833927
13316.415784,1001,4187.118826
13071.592752,1001,4220.576938
13426.434452,1001,4253.806311
13221.04203,1001,4287.957217
13129.711519,1001,4321.549246
13251.709935,1001,4355.348133
