#{"env_id": "my_panda_free_space_traj", "t_start": 1583790919.505268}
r,l,t
5401.525833,1001,44.294904
8379.811949,1001,80.266164
9278.221904,1001,116.697298
9651.927197,1001,153.323961
9300.664502,1001,190.013374
10244.607884,1001,226.191549
10832.470434,1001,262.317601
11221.519135,1001,297.999696
11119.22108,1001,333.567949
10331.350873,1001,369.912529
10791.695562,1001,405.409178
11611.120328,1001,441.369869
11284.260021,1001,478.415585
11488.785027,1001,515.126402
11704.410517,1001,551.320207
11581.488055,1001,589.218004
12239.174051,1001,626.491127
11800.365529,1001,663.168989
12295.781747,1001,698.980566
12331.666329,1001,736.367741
12470.013181,1001,772.651892
12482.635411,1001,809.667667
12693.437282,1001,846.90561
12330.72784,1001,884.347239
12216.369475,1001,921.206305
12615.198839,1001,958.045008
12685.861551,1001,995.427575
12857.87224,1001,1033.20552
12787.20358,1001,1070.897787
12671.783659,1001,1108.489347
12616.639101,1001,1145.48181
12934.183933,1001,1182.348679
13051.401302,1001,1218.858016
13065.698566,1001,1256.005103
13213.022144,1001,1292.280343
12748.800064,1001,1329.790324
12901.398329,1001,1366.463529
12779.123714,1001,1403.538136
12764.707257,1001,1439.771179
12844.445208,1001,1476.29132
12768.914677,1001,1513.250915
13108.251829,1001,1548.151323
12901.72011,1001,1583.331203
12911.845794,1001,1618.540923
12914.395637,1001,1654.164093
12900.029882,1001,1688.906775
12943.00145,1001,1722.434379
12963.257263,1001,1756.900583
13257.509422,1001,1790.463892
13332.858248,1001,1823.481196
12890.051281,1001,1856.703019
13332.61341,1001,1889.812157
12782.233749,1001,1924.220234
13322.347011,1001,1957.618752
13345.388544,1001,1990.70456
12781.143979,1001,2024.257855
13302.456702,1001,2057.71365
13419.761575,1001,2092.0667
12961.109459,1001,2125.244948
12906.016847,1001,2158.901943
13383.427967,1001,2192.497127
13002.751054,1001,2226.496912
13426.727805,1001,2260.219523
13370.792235,1001,2292.986681
12803.228485,1001,2326.589137
12883.648861,1001,2360.678059
12886.253912,1001,2394.218572
13362.38648,1001,2428.308104
13361.10361,1001,2460.887257
13111.402922,1001,2493.255584
6.954989,1001,2525.991715
12816.175672,1001,2559.266339
13101.993747,1001,2591.635144
13318.528057,1001,2624.326253
7.127699,1001,2656.246975
13303.994149,1001,2688.358435
13307.13633,1001,2720.377424
13143.06016,1001,2752.597206
13261.865117,1001,2785.205054
13318.274827,1001,2817.893308
12915.492119,1001,2850.761492
13317.681154,1001,2883.240052
13249.928522,1001,2915.569006
12748.502819,1001,2948.45689
12686.034228,1001,2980.924307
13481.258878,1001,3013.677364
13438.591972,1001,3045.985596
12841.595622,1001,3079.027182
13348.419175,1001,3111.071145
12774.69374,1001,3143.686455
12919.885319,1001,3177.088245
13015.476161,1001,3209.655108
13256.588661,1001,3242.620693
12957.50525,1001,3275.679027
13052.118926,1001,3308.14929
13180.722044,1001,3340.672557
12827.269244,1001,3373.828018
12827.575632,1001,3406.701826
13316.411222,1001,3438.949981
13029.31264,1001,3472.082903
12713.080911,1001,3504.448524
13164.396525,1001,3536.786176
13210.027391,1001,3569.189381
13347.034408,1001,3601.531132
12864.114875,1001,3634.240916
12809.343203,1001,3667.414214
12999.742301,1001,3700.356449
13063.980515,1001,3732.718548
12995.912307,1001,3765.332447
13034.908383,1001,3798.845738
13016.967076,1001,3831.234958
12946.071146,1001,3864.553107
13188.361017,1001,3897.201272
12864.809593,1001,3929.60759
13210.976128,1001,3961.561013
13197.437248,1001,3994.667484
13330.533731,1001,4026.866206
12711.830529,1001,4059.537728
13274.951914,1001,4091.821374
13395.808592,1001,4124.082113
12875.484467,1001,4157.34873
12963.453607,1001,4190.314415
12985.276964,1001,4223.236335
13262.751718,1001,4255.468553
