#{"env_id": "my_panda_free_space_traj", "t_start": 1583779988.5118716}
r,l,t
413.865959,1001,44.936563
302.780897,1001,83.239186
572.397909,1001,121.568576
442.233793,1001,159.570525
526.760679,1001,197.957288
555.13086,1001,236.381559
218.850871,1001,274.129453
771.652415,1001,312.322353
423.088137,1001,350.525814
405.016386,1001,389.176342
441.617617,1001,427.615849
475.826705,1001,463.573315
550.810582,1001,501.010573
1064.079537,1001,538.444763
434.50553,1001,575.562522
866.993167,1001,610.991029
663.955434,1001,646.678537
588.338465,1001,681.707982
962.694329,1001,717.536504
321.598698,1001,753.718198
382.521196,1001,790.41785
974.330424,1001,825.605668
406.76668,1001,861.558098
339.252399,1001,896.493639
337.14111,1001,932.49846
544.716117,1001,968.501261
293.558452,1001,1004.952783
680.387028,1001,1040.35656
355.186128,1001,1076.017277
494.110824,1001,1111.687583
474.632823,1001,1146.982896
380.734767,1001,1183.325924
410.984208,1001,1218.711092
832.10215,1001,1256.096833
547.097345,1001,1294.066038
645.894495,1001,1332.011687
310.921339,1001,1370.468766
391.788892,1001,1409.51449
399.284411,1001,1448.057597
389.388654,1001,1486.543517
416.582516,1001,1524.667961
599.140853,1001,1563.169438
390.297263,1001,1601.724267
363.017152,1001,1639.931603
456.52943,1001,1677.706542
424.181442,1001,1716.608729
320.87399,1001,1755.084094
532.807764,1001,1793.728053
469.331164,1001,1832.616786
242.013069,1001,1871.547813
720.204901,1001,1909.888418
751.353601,1001,1948.384008
861.854888,1001,1986.837814
705.299519,1001,2025.616417
486.098125,1001,2064.598257
526.016713,1001,2103.328523
334.942022,1001,2141.414635
266.901061,1001,2180.011784
381.956426,1001,2218.631008
961.210437,1001,2256.999002
974.422098,1001,2295.5079
316.765472,1001,2334.444468
845.284703,1001,2373.228557
953.446269,1001,2412.089559
820.015644,1001,2450.450325
1047.507604,1001,2489.138879
551.164109,1001,2528.254626
395.974274,1001,2567.246134
854.731949,1001,2606.086766
631.932627,1001,2644.828028
492.719307,1001,2683.551545
925.849428,1001,2722.224814
688.802769,1001,2760.691895
728.890276,1001,2798.831219
441.768903,1001,2837.042042
378.156592,1001,2875.78571
194.526889,1001,2914.767178
420.633047,1001,2953.223356
569.791924,1001,2991.865864
915.310649,1001,3030.842657
713.874041,1001,3070.042864
824.702546,1001,3108.357533
712.073862,1001,3146.921881
495.692539,1001,3185.020837
488.860997,1001,3223.153895
420.334067,1001,3260.801105
808.840596,1001,3299.305613
1073.512156,1001,3337.486342
1144.206373,1001,3375.605563
489.760027,1001,3414.209285
445.702546,1001,3452.397592
785.500804,1001,3489.849646
285.301085,1001,3527.518545
803.740359,1001,3563.977881
529.276952,1001,3599.550727
433.654466,1001,3635.932235
523.598012,1001,3672.208869
1452.886861,1001,3708.185273
873.723416,1001,3743.611709
730.079994,1001,3779.277423
712.514544,1001,3815.03768
578.808427,1001,3851.108343
701.187814,1001,3887.314976
369.975093,1001,3923.202735
377.389724,1001,3960.897868
768.323959,1001,3999.208375
500.364392,1001,4038.109925
889.508409,1001,4076.625187
535.213565,1001,4114.831012
851.763585,1001,4152.656833
446.457091,1001,4191.231824
372.744757,1001,4229.462918
378.806415,1001,4268.096751
314.836924,1001,4306.68723
812.851332,1001,4345.172176
343.114701,1001,4383.801913
266.355688,1001,4422.565163
679.12433,1001,4460.605418
447.871235,1001,4499.025047
789.093213,1001,4536.733874
885.542468,1001,4574.28391
695.807523,1001,4612.242289
540.616323,1001,4649.351538
386.778888,1001,4686.881506
