#{"t_start": 1583779883.8661475, "env_id": "my_panda_free_space_traj"}
r,l,t
3898.136517,1001,44.813153
8482.108933,1001,82.109817
9526.278625,1001,119.030069
9685.808155,1001,155.941764
9816.435198,1001,193.442676
9801.659682,1001,230.561905
9487.773923,1001,266.911681
9717.601254,1001,302.993621
10198.334145,1001,339.628082
10801.22166,1001,377.050217
10560.373239,1001,414.213026
10749.400329,1001,450.674644
10739.879652,1001,487.485845
10548.019695,1001,523.683355
11247.467444,1001,558.244379
11753.698304,1001,592.269291
11961.342696,1001,626.89639
11849.41707,1001,661.280625
11393.771967,1001,695.471044
11955.347748,1001,728.894883
11713.835022,1001,763.021857
12520.553119,1001,796.944863
12078.966663,1001,830.37363
12435.561412,1001,864.518929
12343.177892,1001,898.603427
12023.888326,1001,933.489147
12181.852563,1001,966.838001
12456.468859,1001,999.797527
12453.418169,1001,1033.210342
12297.206983,1001,1069.796891
13002.15435,1001,1105.955533
12297.164832,1001,1142.412281
12557.953049,1001,1178.46928
12350.429246,1001,1212.195546
12474.988336,1001,1245.319003
12970.734961,1001,1280.335054
12835.413782,1001,1316.126015
12467.614548,1001,1352.276297
12415.285991,1001,1388.961695
13217.934003,1001,1425.845216
12407.910789,1001,1462.388163
12470.595693,1001,1499.59429
12537.131127,1001,1536.966926
12627.586266,1001,1574.230592
13297.006693,1001,1611.813647
13142.040733,1001,1648.752464
12590.091927,1001,1686.887759
268.97556,1001,1724.108908
13120.772206,1001,1760.812434
13093.598883,1001,1797.466903
12376.460801,1001,1835.098827
13186.193866,1001,1871.522043
12629.139106,1001,1908.844254
12621.310401,1001,1945.914024
12794.332089,1001,1983.336033
12912.588293,1001,2021.237211
12827.040288,1001,2058.956114
12336.842896,1001,2095.664764
12748.698441,1001,2133.873063
348.876458,1001,2171.073532
12700.336667,1001,2208.57217
12242.105611,1001,2246.184768
12719.133859,1001,2283.077772
350.45065,1001,2320.369928
349.667156,1001,2357.509727
12501.145958,1001,2394.867451
12854.799367,1001,2432.611724
346.571838,1001,2469.876588
12350.274291,1001,2507.521148
13006.807107,1001,2544.862885
13265.652832,1001,2582.159123
13240.744153,1001,2620.354529
346.195807,1001,2657.821227
13066.614885,1001,2695.846079
13181.287855,1001,2733.333811
12524.351067,1001,2771.664975
13518.996321,1001,2809.807678
9656.603639,1001,2847.952033
13344.296907,1001,2885.712988
3489.481902,1001,2923.514917
438.811023,1001,2960.469896
1971.40431,1001,2997.86866
7.062803,1001,3035.601006
13548.180144,1001,3073.410983
13775.758012,1001,3110.541854
14335.068238,1001,3148.324944
18220.02591,1001,3185.999331
13363.001097,1001,3223.744055
13774.410486,1001,3260.529635
16811.300644,1001,3297.989971
13573.293016,1001,3334.949972
13317.952873,1001,3372.288592
13091.457251,1001,3409.533139
18505.849954,1001,3447.411785
25645.716536,1001,3484.687833
13829.619132,1001,3522.064437
13632.092387,1001,3560.149646
13740.454555,1001,3598.034801
19883.041701,1001,3635.255589
26888.499033,1001,3672.220004
14007.668569,1001,3708.964075
14214.414322,1001,3745.513529
17024.599181,1001,3781.721658
13747.21183,1001,3817.470996
13994.878775,1001,3854.258788
13851.68795,1001,3890.724807
33950.684113,1001,3927.567229
13555.93273,1001,3964.031181
33005.309471,1001,4000.233499
27242.83996,1001,4037.455062
13376.918367,1001,4074.710675
13560.223435,1001,4112.456651
34686.303003,1001,4149.556808
15175.696923,1001,4186.717849
34732.463138,1001,4224.053722
15962.654663,1001,4261.935489
13825.107675,1001,4300.55862
13468.058502,1001,4339.054495
15886.165507,1001,4377.258975
13417.565933,1001,4414.510123
13392.371099,1001,4451.460767
30279.42982,1001,4489.946141
34049.914554,1001,4527.608614
36076.231598,1001,4565.01402
