nupdates,fps,total_timesteps,policy_entropy,policy_loss,value_loss,explained_variance,ep_len_mean,ep_reward_mean
1,58,0,4.2568159103393555,-0.18384884297847748,14.184521675109863,0.02288895845413208,,
100,116,8019,4.256842136383057,0.19088149070739746,0.39402857422828674,-0.22042059898376465,1001.0,584.23836575
200,117,16119,4.256877899169922,-0.0229824036359787,0.23396721482276917,-1.8799264430999756,1001.0,761.62809675
300,117,24219,4.256875038146973,0.07781079411506653,0.26391106843948364,-4.442264080047607,1001.0,684.44974235
400,115,32319,4.256892204284668,-0.16284355521202087,0.28701359033584595,-1.4351072311401367,1001.0,656.70772475
500,113,40419,4.2568888664245605,-0.044802870601415634,0.3147891163825989,-0.530203104019165,1001.0,649.6169801666666
600,112,48519,4.256900310516357,-0.13149836659431458,0.36484143137931824,-0.5551105737686157,1001.0,643.5933695454546
700,112,56619,4.256911277770996,0.13298428058624268,0.30220460891723633,-3.3061904907226562,1001.0,641.2709091538461
800,111,64719,4.256927967071533,0.005427192896604538,0.17010796070098877,-7.846122741699219,1001.0,618.3839366166668
900,111,72819,4.25692892074585,-0.09223631024360657,0.09726355969905853,-3.2413887977600098,1001.0,608.9540598970589
1000,111,80919,4.2569499015808105,0.06835895776748657,0.21672236919403076,-2.373612642288208,1001.0,603.8714229736843
1100,110,89019,4.256956577301025,-0.25922250747680664,0.2188214808702469,-29.254072189331055,1001.0,600.5135996190477
1200,110,97119,4.256969928741455,-0.1870509684085846,0.35651296377182007,-12.763935089111328,1001.0,597.5524133043479
1300,110,105219,4.256987571716309,-0.17250198125839233,0.2588694989681244,-1.7737226486206055,1001.0,589.74584666
1400,109,113319,4.257007598876953,-0.05204165354371071,0.1797446608543396,-6.138945579528809,1001.0,603.46933245
1500,109,121419,4.257018566131592,-0.14999066293239594,0.42258405685424805,-1.8059945106506348,1001.0,571.09377794
1600,109,129519,4.257014751434326,-0.09895243495702744,0.1911073625087738,-1.5132479667663574,1001.0,576.00048541
