#{"env_id": "my_panda_free_space_traj", "t_start": 1583775360.281438}
r,l,t
6366.644279,1001,40.983814
8968.103845,1001,76.308987
8181.825382,1001,109.400974
10000.719385,1001,141.784623
10331.957623,1001,175.066382
10277.352785,1001,209.919249
10180.775928,1001,246.449848
10316.378456,1001,283.300659
10495.789438,1001,319.5212
10825.336027,1001,356.959118
11613.042952,1001,394.529951
11942.457343,1001,432.021726
11237.060518,1001,468.006055
12227.282487,1001,505.194289
11930.708744,1001,542.354138
12209.232371,1001,579.190742
11953.941245,1001,616.509646
12105.276438,1001,653.135662
12489.932203,1001,690.02065
12410.976999,1001,727.121796
12604.112094,1001,763.964107
12713.080411,1001,801.198864
12785.90246,1001,839.627321
12672.670411,1001,876.724784
12751.118255,1001,914.184654
12816.3509,1001,952.024165
12927.138295,1001,989.704452
12990.385516,1001,1027.693294
12801.16572,1001,1064.402249
12829.531955,1001,1102.283011
12845.39088,1001,1139.283707
13004.842771,1001,1175.568719
13189.976111,1001,1212.92964
13229.967355,1001,1249.997083
12884.286589,1001,1287.978776
13150.958102,1001,1325.287066
12994.780042,1001,1362.668644
12987.875305,1001,1400.181361
13070.849146,1001,1438.30785
13188.152671,1001,1476.054951
13129.737657,1001,1513.204619
13129.400463,1001,1551.059632
13160.837222,1001,1587.607361
13236.080649,1001,1624.487566
13066.761918,1001,1661.79095
12905.773757,1001,1698.771565
13408.112152,1001,1735.543039
13022.435874,1001,1773.526881
13061.702476,1001,1811.519504
13138.988552,1001,1849.100019
13012.711837,1001,1886.066361
13325.191908,1001,1922.843581
13050.861682,1001,1960.118018
13122.177704,1001,1997.436733
13351.997785,1001,2035.131531
13350.621792,1001,2071.909556
13070.44112,1001,2109.256898
12880.377389,1001,2145.054185
12894.077775,1001,2181.589034
13469.816944,1001,2217.705602
13051.580298,1001,2253.633849
13159.936605,1001,2289.779746
13075.535558,1001,2326.47451
13133.225021,1001,2362.725681
13133.935489,1001,2399.417687
13169.880636,1001,2435.137823
13427.662087,1001,2468.036688
13172.879842,1001,2501.192442
13427.620147,1001,2533.309836
12995.034573,1001,2565.969621
13096.339974,1001,2599.204883
13131.6672,1001,2631.70886
13095.120379,1001,2665.278168
12990.228548,1001,2699.859984
13346.794489,1001,2732.813504
13321.063016,1001,2766.03539
13013.853626,1001,2799.837402
13382.307595,1001,2834.313553
13126.872292,1001,2872.167678
13437.843655,1001,2909.221214
13360.864836,1001,2946.495162
12865.036554,1001,2983.524165
13466.385425,1001,3020.090321
13497.350176,1001,3056.984469
12908.646787,1001,3094.039485
13475.871712,1001,3131.011437
12948.098436,1001,3168.897652
12754.023858,1001,3205.977877
13509.482732,1001,3244.100541
12890.118432,1001,3282.068684
13406.479897,1001,3318.630225
13366.079103,1001,3356.065273
13488.00312,1001,3393.023907
12968.429343,1001,3430.662981
13500.761919,1001,3467.694915
13029.87758,1001,3505.208285
13476.059179,1001,3541.679231
13165.002259,1001,3579.059633
13221.59771,1001,3616.654514
13214.620486,1001,3654.21129
13383.363942,1001,3691.568936
13497.416177,1001,3729.048007
13487.436548,1001,3766.254095
13503.485604,1001,3802.482571
13554.804442,1001,3839.37603
13472.974079,1001,3876.596892
13567.721823,1001,3913.393805
13509.963199,1001,3950.033323
13467.814034,1001,3986.20768
13503.391583,1001,4022.213959
13489.149701,1001,4059.162752
13468.694347,1001,4095.850939
13402.169131,1001,4132.821458
13606.655295,1001,4170.060745
13784.756242,1001,4207.251109
13825.539486,1001,4244.917257
13508.044021,1001,4281.684021
13684.635936,1001,4319.185335
13766.913741,1001,4357.530974
13502.271966,1001,4394.602461
13912.13226,1001,4431.568066
13783.131817,1001,4469.016239
13839.817579,1001,4506.755234
13501.452047,1001,4543.908066
