#{"t_start": 1583775352.4938612, "env_id": "my_panda_free_space_traj"}
r,l,t
8054.833599,1001,40.650769
8541.942914,1001,76.364903
8372.578011,1001,109.922088
9431.155743,1001,143.262731
9958.481948,1001,176.572428
10430.337779,1001,209.996494
10130.278596,1001,245.464267
10769.182761,1001,281.492629
10873.487595,1001,317.32741
11405.169608,1001,353.230625
11671.852616,1001,389.02326
11866.134332,1001,424.51909
11971.233597,1001,461.656528
11843.197397,1001,498.454353
11605.577706,1001,534.935984
12124.541911,1001,571.082877
12138.574995,1001,608.072726
12450.551573,1001,644.058122
12678.990822,1001,680.112339
12408.654464,1001,716.552796
12318.728594,1001,754.286716
12450.320177,1001,790.52799
12543.057675,1001,826.905
12705.020966,1001,864.392555
12672.708651,1001,901.269976
12640.402168,1001,937.572841
12805.715818,1001,974.526294
12612.932896,1001,1011.456616
12771.950711,1001,1047.973264
12794.094451,1001,1085.345755
12928.787202,1001,1123.574191
12717.118288,1001,1159.868091
12860.071396,1001,1195.708065
12700.361965,1001,1233.115459
12917.804234,1001,1270.349653
12910.842576,1001,1307.808298
12919.09307,1001,1343.800595
13001.528281,1001,1381.955196
12920.50525,1001,1418.775113
12947.102016,1001,1456.215792
13096.960089,1001,1492.790814
13071.130046,1001,1529.791882
12666.541475,1001,1566.636698
12901.401105,1001,1602.97332
12985.176252,1001,1640.171153
13228.561913,1001,1677.381289
12897.878105,1001,1714.643866
13090.081388,1001,1750.977429
12986.807296,1001,1788.067493
12979.206997,1001,1825.169063
13220.757551,1001,1862.714803
12929.891713,1001,1900.117628
12857.005679,1001,1936.49023
12960.045686,1001,1973.185771
13253.529195,1001,2009.221713
13278.598413,1001,2045.768293
13027.334583,1001,2082.871004
13200.360986,1001,2118.714908
13229.310598,1001,2154.571304
13140.565391,1001,2190.915246
13058.756767,1001,2226.797756
12937.716173,1001,2263.160055
13036.009198,1001,2299.4375
13276.673821,1001,2335.835354
13299.409558,1001,2370.947667
13463.495465,1001,2407.389368
13463.159505,1001,2442.594309
13231.965283,1001,2476.427582
36.060384,1001,2509.726843
13046.233771,1001,2542.601912
13186.935488,1001,2575.511868
12950.11485,1001,2609.465747
12988.204087,1001,2642.927106
13208.486503,1001,2676.171767
13552.8423,1001,2709.995913
13215.675538,1001,2744.384548
12962.361506,1001,2777.791541
12945.112693,1001,2811.110955
12770.454145,1001,2845.159153
13008.1345,1001,2881.352006
12983.218085,1001,2916.763466
12984.476017,1001,2953.316013
270.616804,1001,2989.761753
13088.035993,1001,3026.291157
13242.619598,1001,3062.657535
13712.282729,1001,3099.428976
12502.862668,1001,3135.50939
12755.728743,1001,3171.392492
12815.487314,1001,3207.744493
13008.620669,1001,3243.468257
13832.545827,1001,3280.174818
13112.888403,1001,3316.264397
13858.422258,1001,3353.204381
13104.785441,1001,3389.132245
13483.508389,1001,3425.950945
13598.812051,1001,3462.667285
13420.433448,1001,3498.628212
12700.477218,1001,3535.088251
13037.176424,1001,3570.963645
13207.74062,1001,3606.913727
13529.487887,1001,3643.860495
13109.85062,1001,3679.543369
13510.346556,1001,3715.606362
14368.392846,1001,3752.615508
13397.964163,1001,3789.36961
13260.885094,1001,3826.219221
13854.379177,1001,3863.103916
13300.359326,1001,3899.060369
13858.321422,1001,3935.783328
13908.205133,1001,3972.578486
13763.096143,1001,4009.046201
13730.187371,1001,4045.160019
13706.534163,1001,4082.614819
13109.656795,1001,4119.083564
13129.929827,1001,4154.563934
12947.385277,1001,4190.631665
112.444404,1001,4227.124434
13952.433675,1001,4264.565722
13898.686265,1001,4301.244299
13769.545216,1001,4337.965483
35.082829,1001,4374.534637
13047.437052,1001,4410.674466
86.416511,1001,4447.95294
13791.702204,1001,4484.714529
