#{"t_start": 1583773796.3083432, "env_id": "my_panda_free_space_traj"}
r,l,t
8031.919665,1001,41.744313
9022.852949,1001,76.84192
7699.749377,1001,111.945117
8970.602411,1001,146.784405
10746.533074,1001,182.821121
11168.726246,1001,218.227852
11635.213237,1001,254.002156
11530.563899,1001,289.46294
11968.906441,1001,324.796081
11843.720586,1001,360.442302
11889.596156,1001,396.158697
10987.690767,1001,432.378056
11906.091689,1001,467.621539
12015.5542,1001,503.527565
8348.304761,1001,539.091083
6460.569675,1001,574.901268
5108.257355,1001,610.872425
11453.205895,1001,646.100916
9192.726205,1001,681.786257
12436.835836,1001,717.92179
10395.548505,1001,754.546887
12136.287785,1001,789.831498
12606.034258,1001,823.705586
12589.909416,1001,859.184874
11768.745675,1001,894.469088
12193.656074,1001,930.364647
10699.632662,1001,966.261774
12430.30736,1001,1001.148387
12340.414916,1001,1035.338414
12462.873556,1001,1070.3887
12761.662335,1001,1104.49359
12587.926568,1001,1139.63216
12437.954874,1001,1174.228817
12286.154315,1001,1209.957388
12147.435672,1001,1244.483285
12790.540344,1001,1279.26669
12681.614971,1001,1315.551307
