#{"env_id": "my_panda_free_space_traj", "t_start": 1583773759.8140354}
r,l,t
7939.988416,1001,40.220721
9319.848511,1001,74.548747
8768.422055,1001,109.573445
10415.014568,1001,144.5276
9953.451999,1001,178.956408
10078.897384,1001,213.454711
9190.245067,1001,248.420213
3228.517687,1001,283.57462
10372.620162,1001,318.992449
10862.564852,1001,354.128489
10666.467095,1001,390.345454
11683.994937,1001,424.848167
11217.676134,1001,460.166715
9988.231756,1001,495.961188
9246.67492,1001,531.175107
8643.290293,1001,566.159299
9108.561092,1001,601.122059
10039.530847,1001,635.668123
11736.26837,1001,669.622282
12912.724221,1001,703.607116
12833.174048,1001,738.324634
11398.851301,1001,773.116384
10978.640515,1001,807.520173
10859.527605,1001,843.354526
11000.047678,1001,877.65436
12251.389503,1001,913.223503
12316.712489,1001,947.71042
8186.219109,1001,982.561471
12105.708661,1001,1017.6227
11856.669558,1001,1051.949149
9910.979037,1001,1086.444246
12117.585244,1001,1121.421487
11693.376815,1001,1155.62632
11229.818826,1001,1190.66715
12120.666245,1001,1225.742407
12285.018486,1001,1261.103545
9960.464998,1001,1295.562152
12399.262349,1001,1331.366047
12330.873409,1001,1367.07384
