#{"t_start": 1583611631.7376795, "env_id": "my_panda_free_space_traj"}
r,l,t
168.881671,1000,22.291866
134.772235,1000,38.144197
38.109725,1000,53.916064
227.241358,1000,69.370562
152.179605,1000,84.573985
169.742952,1000,99.800534
617.496541,1000,115.585727
378.025455,1000,131.638963
103.978956,1000,146.938003
359.758316,1000,162.722398
389.990205,1000,177.957083
44.225125,1000,193.615961
349.49847,1000,209.101513
61.191172,1000,224.606124
376.016828,1000,240.250173
240.36371,1000,255.510456
173.258642,1000,271.640456
172.886591,1000,287.305797
224.38911,1000,302.594069
99.385776,1000,318.335011
339.101034,1000,334.067386
169.122782,1000,350.012995
285.529923,1000,365.039707
71.101533,1000,380.761738
416.006634,1000,396.404189
344.158089,1000,411.77192
169.930901,1000,427.188779
272.930608,1000,442.916213
545.223413,1000,459.107348
215.540094,1000,474.321379
406.601547,1000,490.005544
131.886067,1000,505.165653
249.519629,1000,520.30366
351.888079,1000,535.892729
147.279167,1000,550.688542
201.053751,1000,565.747068
175.659728,1000,580.735487
351.709302,1000,596.530326
341.504223,1000,611.242368
129.281761,1000,626.653901
71.769985,1000,642.249696
41.777106,1000,658.287474
223.948985,1000,673.498529
171.608854,1000,689.286688
65.496438,1000,704.901634
111.72975,1000,720.748917
170.662804,1000,736.352594
306.383825,1000,751.777392
529.6624,1000,767.010186
224.644107,1000,782.474255
65.928699,1000,797.153796
276.415153,1000,812.657907
209.905181,1000,828.094796
90.695459,1000,843.826264
200.375772,1000,859.317455
152.219303,1000,874.189446
109.574515,1000,889.55434
105.1357,1000,905.076217
51.801477,1000,920.623177
125.693112,1000,935.860249
392.832221,1000,951.986831
310.500389,1000,967.280636
386.052264,1000,983.167704
180.320739,1000,999.80834
154.579749,1000,1015.472014
226.914115,1000,1030.878757
161.858776,1000,1046.700085
23.920324,1000,1062.909133
118.47479,1000,1078.16733
818.937086,1000,1093.376604
129.740557,1000,1108.45155
100.083894,1000,1123.328452
54.115171,1000,1138.589055
224.308049,1000,1153.771082
143.061188,1000,1168.998596
76.925649,1000,1184.563787
38.729146,1000,1199.68625
460.06003,1000,1215.100267
425.83723,1000,1230.502069
351.005891,1000,1246.271133
389.113018,1000,1261.859637
171.265158,1000,1277.686195
245.067433,1000,1293.451524
85.458588,1000,1309.518935
105.117748,1000,1325.334485
150.457569,1000,1341.406367
92.18508,1000,1357.59305
332.779219,1000,1373.367094
285.021793,1000,1388.983824
431.61902,1000,1403.932244
334.098763,1000,1419.570831
558.124477,1000,1435.116241
352.324546,1000,1450.726025
