#{"env_id": "my_panda_free_space_traj", "t_start": 1583611629.68848}
r,l,t
251.030772,1000,20.762846
2.048125,1000,35.842258
2.682638,1000,50.172671
203.293086,1000,69.702637
117.288738,1000,91.427584
169.340007,1000,115.617456
560.334262,1000,133.106858
833.778257,1000,150.654625
802.126097,1000,168.061899
1710.236792,1000,184.924794
3064.923926,1000,202.181851
4554.722679,1000,219.243372
5926.376446,1000,236.234409
8154.964544,1000,252.72526
9239.608926,1000,269.394961
10108.194819,1000,285.783761
12481.007469,1000,302.421959
11951.103945,1000,319.058354
13016.740047,1000,335.269481
15618.934435,1000,351.69866
15565.41947,1000,368.439495
17559.260153,1000,384.978946
21584.346885,1000,402.033054
23930.157211,1000,419.305522
25480.038575,1000,436.284345
26807.710253,1000,453.229473
26428.379426,1000,469.96233
27878.694175,1000,487.319659
32810.563947,1000,504.946174
32577.960229,1000,521.867346
42597.641528,1000,538.527935
43623.392525,1000,555.630339
48554.072122,1000,572.946822
50689.281908,1000,590.108308
53259.695802,1000,607.246608
53361.680966,1000,624.230806
56766.490809,1000,641.122955
60180.066822,1000,658.352534
11097.309862,1000,675.333234
65984.211364,1000,692.00614
66611.038318,1000,708.959486
64990.703314,1000,726.394342
9601.31002,1000,744.976304
19946.059706,1000,762.139727
65019.29093,1000,779.556803
66502.949089,1000,796.268049
58205.032374,1000,813.057987
61199.412302,1000,829.846736
71335.954907,1000,846.721538
68184.891862,1000,863.557419
67468.062625,1000,880.791873
71222.980168,1000,897.869806
70054.568822,1000,914.555026
72196.840853,1000,931.887609
69184.762148,1000,948.933424
72223.941002,1000,966.118375
68941.834945,1000,983.108562
68048.371398,1000,1001.399722
75864.644737,1000,1019.033945
73984.2487,1000,1035.552337
78434.818037,1000,1052.446202
78537.913369,1000,1069.438503
12812.819735,1000,1087.241843
81056.823369,1000,1104.038359
65934.584676,1000,1120.899375
77121.172811,1000,1137.625711
73856.960001,1000,1154.254327
82592.824428,1000,1170.993147
74326.806008,1000,1187.649058
77254.851994,1000,1204.32426
77033.360351,1000,1221.391119
79153.831024,1000,1238.459774
80812.263066,1000,1254.777462
80831.68375,1000,1271.754441
85019.653951,1000,1289.200347
87788.224421,1000,1305.987006
84204.498431,1000,1322.464057
85230.940388,1000,1339.324538
84773.150993,1000,1356.94289
81097.353553,1000,1373.991972
85789.194077,1000,1391.024919
85076.843785,1000,1407.620797
81327.316253,1000,1424.894274
85119.925804,1000,1442.285988
86025.782726,1000,1458.828257
87034.947888,1000,1474.810296
86652.883202,1000,1491.435657
87381.350567,1000,1508.381038
86915.474644,1000,1525.346479
93405.510308,1000,1542.175515
89770.363175,1000,1559.002632
91184.194845,1000,1575.765357
83422.086598,1000,1592.986988
89436.258306,1000,1609.352055
90154.6479,1000,1626.985155
91409.811199,1000,1644.304315
89106.371114,1000,1661.265155
89704.860125,1000,1678.386099
93900.119702,1000,1695.099834
93066.841548,1000,1712.499243
88216.974034,1000,1729.946862
90381.065475,1000,1747.308608
89755.762206,1000,1765.039893
90137.019071,1000,1782.470028
90629.2301,1000,1799.70959
93581.112321,1000,1816.903921
91440.816076,1000,1833.911046
92225.585347,1000,1851.034634
92965.617876,1000,1868.925322
92987.762228,1000,1885.99837
93176.928932,1000,1902.755922
96155.510923,1000,1919.715271
98164.38414,1000,1937.765428
97363.878004,1000,1954.747997
98721.122261,1000,1971.671369
94179.275422,1000,1988.914472
95303.629143,1000,2005.458965
97308.475563,1000,2022.512188
94939.107792,1000,2039.873999
93748.699479,1000,2057.430709
33768.500634,1000,2074.600588
93663.651322,1000,2091.819119
92970.124767,1000,2109.082958
98334.132836,1000,2126.18227
96665.428743,1000,2143.137076
94843.160787,1000,2160.48421
96832.103859,1000,2177.431918
98362.514979,1000,2194.774351
94308.451502,1000,2211.926519
97994.258006,1000,2228.986737
94132.969946,1000,2246.253748
95119.921072,1000,2263.294757
96675.056035,1000,2280.921742
89197.13489,1000,2298.971705
94518.646719,1000,2317.164274
13713.808411,1000,2334.649166
100425.684378,1000,2352.586502
99770.090265,1000,2370.063028
97943.270693,1000,2388.055686
98287.718994,1000,2405.160891
99809.639457,1000,2422.64473
99670.115798,1000,2439.760103
98468.971539,1000,2457.547615
94824.54439,1000,2475.038971
96661.256574,1000,2492.782952
94300.659207,1000,2510.145353
97659.389502,1000,2527.696319
94141.82377,1000,2544.839791
94772.443596,1000,2562.010566
94603.285964,1000,2579.475104
95209.476762,1000,2596.889427
87757.03155,1000,2613.68295
98692.228472,1000,2630.381207
95468.621571,1000,2647.268391
98318.802769,1000,2664.323222
95679.035117,1000,2681.540663
92077.043865,1000,2698.776054
102532.599679,1000,2715.797145
97814.823535,1000,2733.586152
95577.006125,1000,2750.83451
96676.139591,1000,2768.795074
99950.177295,1000,2785.605728
103455.181406,1000,2803.15904
98700.896518,1000,2821.304534
99498.250003,1000,2838.450246
100583.989187,1000,2856.248133
93202.944059,1000,2873.288357
95721.403965,1000,2891.394373
91804.4385,1000,2908.91735
97288.747463,1000,2926.113717
96033.372343,1000,2943.911277
96286.942235,1000,2961.679229
95866.819859,1000,2978.870157
94790.709071,1000,2996.685726
96998.144517,1000,3014.027036
96671.54793,1000,3031.210343
94419.411,1000,3049.10173
97992.068568,1000,3065.744096
99041.969807,1000,3082.918963
101328.168088,1000,3099.948604
101475.554735,1000,3117.021741
100789.004152,1000,3134.296775
103243.295685,1000,3151.901122
96542.249943,1000,3168.660467
103087.276399,1000,3185.943014
97376.604101,1000,3202.970762
102503.142503,1000,3219.686033
99970.512718,1000,3236.764387
93813.480653,1000,3253.885548
100126.727197,1000,3271.486392
96778.37022,1000,3288.557639
102149.906168,1000,3306.674523
101915.864505,1000,3323.694361
99536.322205,1000,3340.851434
101150.392475,1000,3358.286026
96238.13735,1000,3375.149867
102288.86446,1000,3392.218861
103207.331674,1000,3409.306511
99656.107173,1000,3426.250992
97757.301224,1000,3443.095079
101562.005566,1000,3459.902449
100596.621315,1000,3477.446641
98755.920909,1000,3494.211227
96184.64838,1000,3511.233583
96425.990175,1000,3528.152548
96141.356819,1000,3545.688582
100814.906574,1000,3562.407726
101634.986768,1000,3579.308699
100331.653019,1000,3596.474086
100843.722849,1000,3614.315902
102126.22244,1000,3631.940071
97992.896781,1000,3648.995328
97717.411564,1000,3666.417633
100867.327916,1000,3684.384907
101231.498443,1000,3702.342188
99833.314555,1000,3719.412356
97694.191798,1000,3736.595308
97754.235358,1000,3753.924588
97516.786595,1000,3771.141615
99325.042635,1000,3787.802389
102295.426796,1000,3804.795237
98789.5871,1000,3821.04731
104550.673366,1000,3838.314521
103432.441535,1000,3854.690965
101741.525329,1000,3872.189744
97625.588773,1000,3890.149213
101636.650793,1000,3907.957038
101673.975341,1000,3925.459424
99289.551792,1000,3942.464226
96869.364108,1000,3959.792683
100196.424072,1000,3976.844489
98267.852681,1000,3994.164554
101630.359541,1000,4010.548404
103964.716577,1000,4027.400635
102662.305097,1000,4044.142806
102285.83285,1000,4061.070261
99821.446732,1000,4077.52604
97881.34813,1000,4094.23571
101515.583904,1000,4112.289699
100858.869112,1000,4130.496646
99126.919148,1000,4147.147115
103192.456776,1000,4163.171853
104521.899806,1000,4179.377776
102540.114728,1000,4195.566501
102303.507242,1000,4212.002988
102983.42936,1000,4228.022479
101832.393837,1000,4244.309366
102507.646912,1000,4260.731585
103335.918887,1000,4277.111628
105108.070689,1000,4293.826889
