total_timesteps,value_loss,nupdates,fps,explained_variance,policy_loss,policy_entropy,ep_len_mean,ep_reward_mean
0,4.125319480895996,1,70,-0.03386521339416504,-0.018510840833187103,9.932570457458496,,
8019,3.035301923751831,100,204,-0.12612390518188477,-0.05598290264606476,10.09200382232666,1000.0,149.740871625
16119,2.629617214202881,200,187,-0.016703009605407715,-0.2500882148742676,10.122499465942383,1000.0,191.776855875
24219,5.249472618103027,300,191,-0.037088751792907715,-0.12637664377689362,10.1573486328125,1000.0,244.95433858333334
32319,10.142191886901855,400,202,0.06326687335968018,0.028413303196430206,10.17490291595459,1000.0,357.164681625
40419,15.449066162109375,500,212,-0.022076964378356934,-0.02087290585041046,10.198014259338379,1000.0,774.768381975
48519,24.891754150390625,600,215,-0.3045603036880493,-0.5739707946777344,10.209436416625977,1000.0,3025.647264395833
56619,8.725001335144043,700,217,-0.04354548454284668,0.04184078425168991,10.243674278259277,1000.0,5224.895825499999
64719,7.303218841552734,800,218,0.0428352952003479,-0.1146092340350151,10.202629089355469,1000.0,7343.0697447343755
72819,6.477105617523193,900,220,0.020801842212677002,0.0070219337940216064,10.153162002563477,1000.0,9399.199869402779
80919,6.376773357391357,1000,221,0.021918416023254395,-0.038081347942352295,10.11541748046875,1000.0,11629.132337775
89019,6.457069396972656,1100,222,-0.02691793441772461,0.0489213764667511,10.093066215515137,1000.0,13736.883310534091
97119,6.405269622802734,1200,222,-0.020326614379882812,-0.2949601411819458,10.083383560180664,1000.0,15626.600137739582
105219,6.006571292877197,1300,223,0.024790406227111816,-0.12632328271865845,10.066651344299316,1000.0,18373.41444625
113319,6.619943141937256,1400,224,0.3607156276702881,0.19071467220783234,10.058890342712402,1000.0,21863.85580641
121419,5.801609992980957,1500,224,-0.10229349136352539,-0.43092188239097595,10.018203735351562,1000.0,25173.28681879
129519,5.551013469696045,1600,225,0.272102415561676,-0.029003940522670746,10.008715629577637,1000.0,29023.302426980008
137619,5.215245723724365,1700,225,-0.019711852073669434,-0.30786073207855225,9.978531837463379,1000.0,32710.1402976
145719,5.493705749511719,1800,226,-0.061157822608947754,-0.524578869342804,9.906044960021973,1000.0,36101.409019210005
153819,5.348520755767822,1900,226,0.022228121757507324,0.25066742300987244,9.828490257263184,1000.0,38967.50674672
161919,5.433267116546631,2000,226,0.021959245204925537,0.19334378838539124,9.830550193786621,1000.0,41179.88783982
170019,4.948042869567871,2100,227,-0.013994097709655762,0.26290637254714966,9.797844886779785,1000.0,43526.37044741999
178119,4.9469428062438965,2200,227,0.014905393123626709,0.166632741689682,9.785566329956055,1000.0,45563.8675524
186219,5.080748558044434,2300,227,-0.006370902061462402,-0.427231103181839,9.766111373901367,1000.0,47551.99606883001
194319,4.636664390563965,2400,228,0.06420129537582397,0.459795206785202,9.757033348083496,1000.0,48571.184775869995
202419,5.094729423522949,2500,228,-0.15568065643310547,-0.32902792096138,9.76890754699707,1000.0,50165.990156850006
210519,4.498462677001953,2600,228,0.010186433792114258,-0.15479691326618195,9.778206825256348,1000.0,50619.05924000999
218619,4.379788875579834,2700,228,0.022700607776641846,-0.3604665994644165,9.750374794006348,1000.0,51633.309378579994
226719,4.695227146148682,2800,229,-0.1156381368637085,-0.05459045618772507,9.738852500915527,1000.0,52260.519803610005
234819,4.468900203704834,2900,228,-0.1632920503616333,-0.488770991563797,9.711969375610352,1000.0,52595.68409041
242919,4.520682334899902,3000,228,0.18853187561035156,-0.41883909702301025,9.7371244430542,1000.0,53184.961580870004
251019,3.7619545459747314,3100,228,0.009223997592926025,0.19009464979171753,9.734960556030273,1000.0,52770.588795380005
259119,3.5218453407287598,3200,228,-0.04341733455657959,0.016350671648979187,9.734261512756348,1000.0,52412.50702319999
267219,3.8177170753479004,3300,228,-0.008074164390563965,-0.18021637201309204,9.696356773376465,1000.0,52976.31161619999
275319,4.485254764556885,3400,228,-0.21425509452819824,-0.09252581745386124,9.718465805053711,1000.0,53026.39521593001
283419,3.8850722312927246,3500,228,0.004970848560333252,-0.009591914713382721,9.759840965270996,1000.0,52513.32529624
291519,4.094654560089111,3600,229,-0.12601447105407715,-0.21705572307109833,9.776780128479004,1000.0,52635.079605039995
299619,4.328852653503418,3700,229,-0.0009429454803466797,-0.20366060733795166,9.802578926086426,1000.0,52927.804611750005
307719,4.507939338684082,3800,229,-0.11787021160125732,0.07436687499284744,9.797463417053223,1000.0,53340.42855249
315819,4.163508415222168,3900,229,-0.030202627182006836,0.3384522795677185,9.852692604064941,1000.0,53304.13638676001
323919,4.210640907287598,4000,229,-0.013271093368530273,0.22716033458709717,9.87916374206543,1000.0,53515.51289512999
332019,4.495459079742432,4100,229,-0.0458521842956543,-0.29288190603256226,9.868315696716309,1000.0,53391.613236679994
340119,3.875495433807373,4200,229,-0.009888172149658203,0.131093829870224,9.83138370513916,1000.0,53660.318075699994
348219,4.21889591217041,4300,229,0.11562186479568481,-0.17924974858760834,9.843539237976074,1000.0,54450.29121697999
356319,4.366917610168457,4400,229,-0.1285724639892578,0.2124135047197342,9.905062675476074,1000.0,54984.60226911999
364419,4.548173427581787,4500,229,0.026688456535339355,-0.10817988961935043,9.864529609680176,1000.0,55271.70955662
372519,4.138024806976318,4600,230,-0.03222513198852539,-0.2520919442176819,9.934128761291504,1000.0,55316.87897771
380619,4.34791898727417,4700,229,-0.00967550277709961,-0.41689908504486084,9.899184226989746,1000.0,55810.50067074
388719,3.622006893157959,4800,230,-0.05107080936431885,-0.23272094130516052,9.939986228942871,1000.0,55622.965059199996
396819,4.078831672668457,4900,230,0.008681297302246094,-0.22715051472187042,9.963456153869629,1000.0,55481.78043668
404919,4.405898094177246,5000,230,0.027939677238464355,-0.28505992889404297,9.95491886138916,1000.0,55363.05826963001
413019,4.605740547180176,5100,229,-0.004052519798278809,-0.3220870792865753,9.942435264587402,1000.0,56092.48144273001
421119,4.951079368591309,5200,229,0.08833056688308716,-0.20750799775123596,9.979729652404785,1000.0,56075.35187923
429219,5.116174221038818,5300,229,-0.03246736526489258,-0.47673267126083374,9.956604957580566,1000.0,55922.555946739994
437319,5.131344795227051,5400,229,-0.003266572952270508,0.27363941073417664,9.939467430114746,1000.0,56642.18754582999
445419,4.54512882232666,5500,229,-0.02224290370941162,-0.25892722606658936,9.946396827697754,1000.0,56669.193216700005
453519,4.104126930236816,5600,229,-0.04996442794799805,-0.29548418521881104,9.934127807617188,1000.0,55599.85739558
461619,3.8868165016174316,5700,229,0.0006341934204101562,0.10455038398504257,9.949762344360352,1000.0,55742.49150224999
469719,3.834606170654297,5800,229,-0.021372437477111816,-0.07891827821731567,9.971038818359375,1000.0,54947.208752540006
477819,3.1851391792297363,5900,229,0.009647607803344727,-0.3076627552509308,9.990957260131836,1000.0,54674.097045559996
485919,3.2107975482940674,6000,229,0.009295523166656494,0.3763311207294464,10.010296821594238,1000.0,54468.47038046001
494019,4.572563171386719,6100,229,0.0018015503883361816,-0.020856186747550964,10.088491439819336,1000.0,55368.43828501
502119,4.918644428253174,6200,229,0.0005007386207580566,0.042399369180202484,10.102624893188477,1000.0,55481.82240474
510219,4.137871742248535,6300,229,0.049580514430999756,0.025272846221923828,10.166983604431152,1000.0,54800.68085511
518319,4.5010576248168945,6400,229,0.12339895963668823,-0.3315941095352173,10.204312324523926,1000.0,54314.01174020001
526419,4.038926124572754,6500,229,-0.019013047218322754,-0.12194409966468811,10.242941856384277,1000.0,53771.35984463999
534519,3.9946227073669434,6600,229,-0.018178105354309082,-0.049531273543834686,10.256081581115723,1000.0,53515.72072792001
542619,4.099203586578369,6700,229,0.007540404796600342,-0.28037118911743164,10.221466064453125,1000.0,53551.69627708999
550719,3.768244981765747,6800,229,-0.0060350894927978516,-0.2101689577102661,10.243762016296387,1000.0,53257.25811386999
558819,4.32796573638916,6900,229,0.042635321617126465,-0.29297637939453125,10.310829162597656,1000.0,54009.53497174001
566919,4.571552753448486,7000,229,0.034726738929748535,0.012779518961906433,10.32283878326416,1000.0,54194.33325528999
575019,4.787789344787598,7100,229,-0.025237441062927246,0.1427839994430542,10.328408241271973,1000.0,55312.3679403
583119,4.648404121398926,7200,229,0.027262568473815918,-0.05500444024801254,10.39073371887207,1000.0,55702.11169803
591219,4.789978504180908,7300,229,0.0027292370796203613,-0.21338073909282684,10.43055534362793,1000.0,56095.29060011001
599319,1.8884375095367432,7400,229,0.03791433572769165,0.05554864555597305,10.445409774780273,1000.0,54414.16527295
607419,1.5267679691314697,7500,229,5.561113357543945e-05,0.20282649993896484,10.520744323730469,1000.0,53222.72354828
615519,3.8831896781921387,7600,229,-0.06028938293457031,0.0638306513428688,10.51558780670166,1000.0,53391.18616613999
623619,4.80853271484375,7700,229,0.024928689002990723,-0.4550662338733673,10.576888084411621,1000.0,54056.159024040004
631719,4.453153610229492,7800,229,-0.07549476623535156,-0.1503223180770874,10.651700973510742,1000.0,53980.625036779995
639819,4.527944087982178,7900,229,0.016684293746948242,-0.21118372678756714,10.683196067810059,1000.0,53897.04712368
647919,5.168173313140869,8000,229,-0.04139745235443115,-0.20912855863571167,10.7181396484375,1000.0,54923.13416589001
656019,5.416268348693848,8100,229,0.016652286052703857,-0.5665959715843201,10.762665748596191,1000.0,55533.74535008001
664119,5.309201240539551,8200,229,-0.04624664783477783,0.05232071876525879,10.818581581115723,1000.0,55587.93948994001
672219,4.766859531402588,8300,229,0.015698254108428955,0.2513032555580139,10.87288761138916,1000.0,55217.46064385
680319,5.021475315093994,8400,229,0.007244467735290527,-0.03812624514102936,10.908262252807617,1000.0,55545.41558529
688419,5.172585964202881,8500,229,-0.00718533992767334,0.22893282771110535,10.903189659118652,1000.0,55541.44263204999
696519,4.96907901763916,8600,229,-0.021358489990234375,-0.23339539766311646,10.940614700317383,1000.0,55365.83749983001
704619,3.840198516845703,8700,229,-0.08478927612304688,-0.39090558886528015,10.96103572845459,1000.0,56939.3409567
712719,2.5943312644958496,8800,229,-0.0005615949630737305,0.13483063876628876,10.999356269836426,1000.0,55984.0037987
720819,3.7307114601135254,8900,229,-0.0037717819213867188,-0.11698049306869507,10.990408897399902,1000.0,55907.48847607001
728919,4.30765962600708,9000,229,-0.021027207374572754,-0.18083897233009338,11.034470558166504,1000.0,56247.68170092999
737019,4.854549407958984,9100,229,0.008826792240142822,-0.08958860486745834,11.026354789733887,1000.0,56881.96962003
745119,4.325798988342285,9200,229,0.00820225477218628,0.017819896340370178,11.070266723632812,1000.0,56394.372549709995
753219,4.6919403076171875,9300,229,-0.0001437664031982422,-0.29410630464553833,11.081496238708496,1000.0,56096.43173515999
761319,2.9572701454162598,9400,229,0.1678004264831543,0.0707315057516098,11.103341102600098,1000.0,54442.26646466999
769419,3.5918350219726562,9500,229,-0.0929802656173706,-0.1567935347557068,11.14893913269043,1000.0,54035.07631202001
777519,4.02983283996582,9600,229,-0.05730938911437988,0.2284635305404663,11.176079750061035,1000.0,53828.216515449996
785619,4.097002029418945,9700,229,-0.007414460182189941,-0.3666621446609497,11.174271583557129,1000.0,53570.02053957
793719,4.211013317108154,9800,229,0.016749441623687744,-0.15783129632472992,11.181822776794434,1000.0,53128.713872839995
801819,4.3615312576293945,9900,229,0.01599109172821045,0.3571038842201233,11.197114944458008,1000.0,53962.6941103
809919,4.8101348876953125,10000,229,0.00017684698104858398,-0.28865060210227966,11.197918891906738,1000.0,55831.68085724001
818019,4.945794582366943,10100,229,-0.012337565422058105,0.24192571640014648,11.170904159545898,1000.0,55877.61660660001
826119,4.59951114654541,10200,229,0.01044851541519165,-0.18327030539512634,11.227249145507812,1000.0,55387.174140459996
834219,5.019295692443848,10300,229,-0.09050726890563965,-0.10527923703193665,11.223128318786621,1000.0,55126.27426546999
842319,5.242932319641113,10400,229,-0.031249642372131348,-0.2860127389431,11.16237735748291,1000.0,55168.701715630006
850419,4.8957133293151855,10500,229,0.0032648444175720215,-0.10172946751117706,11.158011436462402,1000.0,55132.764426140006
858519,5.393075466156006,10600,229,-0.030288100242614746,-0.021082669496536255,11.167510032653809,1000.0,56046.49250692999
866619,5.096502780914307,10700,229,-0.012476205825805664,-0.20727956295013428,11.245720863342285,1000.0,56428.46773825001
874719,4.22702169418335,10800,229,-0.017312049865722656,-0.5489234924316406,11.298110008239746,1000.0,56442.95234269999
882819,3.894646167755127,10900,229,0.030063509941101074,-0.4561338722705841,11.313933372497559,1000.0,56348.02152064
890919,4.202556610107422,11000,229,0.012691855430603027,-0.3770504891872406,11.324889183044434,1000.0,56599.967127929995
899019,4.78847074508667,11100,229,-0.02721405029296875,0.018589653074741364,11.333077430725098,1000.0,57067.66295240001
907119,4.818782329559326,11200,229,-0.00040662288665771484,-0.038506075739860535,11.35434627532959,1000.0,57055.64732772001
915219,4.9138031005859375,11300,229,0.007012784481048584,-0.23623427748680115,11.343355178833008,1000.0,57439.84093420999
923319,4.929614067077637,11400,229,0.02262723445892334,-0.09064176678657532,11.391919136047363,1000.0,56888.67694949001
931419,4.5637006759643555,11500,229,-0.01054835319519043,-0.21070162951946259,11.426260948181152,1000.0,57047.431911200016
939519,3.0300841331481934,11600,230,-0.10843026638031006,0.2704851031303406,11.421822547912598,1000.0,55548.98078514001
947619,3.366947889328003,11700,230,-0.0021011829376220703,0.16547289490699768,11.408568382263184,1000.0,55093.97248452
955719,3.7900607585906982,11800,230,-0.02439415454864502,-0.3145749866962433,11.440499305725098,1000.0,55103.03831608999
963819,4.036548614501953,11900,230,0.008200764656066895,-0.14373451471328735,11.458121299743652,1000.0,55156.39873559
971919,4.235814571380615,12000,230,-0.06366479396820068,-0.10668669641017914,11.492642402648926,1000.0,54970.71448321999
980019,3.774801731109619,12100,230,0.03309750556945801,0.39410072565078735,11.514191627502441,1000.0,54675.04422213
988119,4.372370719909668,12200,230,-0.025615215301513672,0.2228107452392578,11.519523620605469,1000.0,55399.22964416
996219,4.073141574859619,12300,230,-0.03180849552154541,-0.5388716459274292,11.514435768127441,1000.0,55538.78035211
1004319,4.065670967102051,12400,230,0.014364063739776611,-0.49125730991363525,11.521376609802246,1000.0,55322.02606289999
1012419,3.981473445892334,12500,231,0.019454121589660645,-0.15733155608177185,11.517510414123535,1000.0,55395.931817760014
