#{"t_start": 1583770726.848688, "env_id": "my_panda_free_space_traj"}
r,l,t
1337.258784,1000,22.892229
108.682991,1000,38.347719
5.882908,1000,56.765212
1210.810732,1000,72.697615
3927.10983,1000,88.429206
5425.152244,1000,103.687882
8563.37208,1000,119.122146
10385.888065,1000,134.591956
11046.016918,1000,149.958534
11904.93501,1000,165.472031
12200.298554,1000,180.809813
12577.680328,1000,196.126508
13038.076626,1000,211.531992
12893.894701,1000,227.07899
13779.206009,1000,242.487767
13742.676415,1000,257.970777
13581.710117,1000,273.530995
13853.402347,1000,288.845651
14340.877376,1000,304.179109
14271.646011,1000,319.678011
13068.151259,1000,335.297808
14622.826915,1000,350.804197
14233.319387,1000,365.826246
13883.507281,1000,380.780153
13831.070233,1000,396.167264
14773.592508,1000,411.65961
14073.371571,1000,427.326626
13390.213945,1000,442.726826
14038.482898,1000,458.101626
13941.767938,1000,474.068747
13886.509953,1000,489.451124
14039.853358,1000,504.818704
13990.914615,1000,520.30265
13308.986223,1000,535.738785
13744.424778,1000,551.214805
14110.748719,1000,566.502006
13835.133373,1000,582.065461
13677.490756,1000,597.588346
13817.125505,1000,612.984748
14339.635434,1000,628.038158
14059.532696,1000,643.59112
14352.071519,1000,659.343045
13943.464049,1000,674.743096
13953.772609,1000,690.156442
14194.334124,1000,705.334
14014.284746,1000,720.782155
14055.759173,1000,735.882748
14189.073326,1000,751.28181
14461.835269,1000,766.528598
14184.863508,1000,781.879219
14317.067567,1000,797.472192
13961.111434,1000,812.592802
14194.05924,1000,828.108517
13955.515972,1000,843.224151
14364.914787,1000,858.694358
14283.146206,1000,874.041484
14365.013206,1000,889.29861
13619.1744,1000,904.453927
14097.815484,1000,919.853912
14192.309046,1000,935.311645
13657.053281,1000,950.780061
13602.479042,1000,966.23343
13746.859979,1000,981.799595
13322.529648,1000,997.024918
14027.589323,1000,1012.218098
14249.944137,1000,1027.327819
14404.051473,1000,1042.602366
14252.074868,1000,1058.20114
14151.107302,1000,1073.531537
14097.984852,1000,1088.653033
14450.489832,1000,1104.235434
14437.279104,1000,1119.713752
14297.142374,1000,1135.023787
14126.435996,1000,1150.301843
14221.384474,1000,1165.543682
14416.903014,1000,1181.193143
14396.393339,1000,1196.206928
14775.897998,1000,1211.461739
14186.395063,1000,1226.837131
14013.433161,1000,1242.527627
14261.252947,1000,1257.624122
14557.652071,1000,1272.941069
14387.504404,1000,1288.250977
14639.442703,1000,1303.889083
14842.977669,1000,1319.12679
14487.878247,1000,1334.205711
14803.594529,1000,1349.535012
14656.531448,1000,1364.819828
14672.441716,1000,1380.162367
14376.936693,1000,1395.461673
14126.919631,1000,1410.562758
14715.10909,1000,1425.663632
14175.801276,1000,1441.175507
14106.911885,1000,1456.796781
14090.396315,1000,1472.17268
14271.092004,1000,1487.694531
14577.061654,1000,1503.021805
13935.456835,1000,1518.185891
14193.750967,1000,1533.393387
14360.806529,1000,1548.713222
14277.04119,1000,1564.220143
14360.379242,1000,1579.378777
14385.957871,1000,1594.639115
13946.337369,1000,1609.870497
14151.831732,1000,1625.35902
14420.875282,1000,1640.614096
14244.958358,1000,1655.96406
14169.752168,1000,1671.030334
14391.561012,1000,1686.371958
14552.633601,1000,1702.240348
14479.283127,1000,1717.546353
14886.669728,1000,1732.814085
14178.599484,1000,1747.96515
14792.286706,1000,1763.351817
14304.741761,1000,1778.707273
14403.785875,1000,1793.815348
14797.100177,1000,1809.443724
15094.274429,1000,1824.664505
14658.876215,1000,1840.116362
14703.221318,1000,1855.168188
14916.084485,1000,1870.587006
14705.741197,1000,1886.124505
14274.320768,1000,1901.137626
14115.45769,1000,1916.202777
14523.241133,1000,1931.428584
14705.831937,1000,1946.967844
14814.320514,1000,1962.766826
14828.486646,1000,1978.24438
14956.498913,1000,1993.580073
14717.007963,1000,2008.718675
14556.48994,1000,2023.969262
14601.944989,1000,2039.247115
14907.083613,1000,2054.368906
14989.152296,1000,2069.557118
14794.593723,1000,2085.587381
14595.566961,1000,2100.76833
14619.909728,1000,2115.935883
14774.006738,1000,2131.291835
14659.395457,1000,2147.075288
14692.078626,1000,2162.66535
14910.971334,1000,2177.898632
14643.327195,1000,2193.284973
14785.670017,1000,2208.550367
14689.724514,1000,2224.226196
14565.462122,1000,2239.589966
14536.013868,1000,2255.398421
14480.458606,1000,2270.66977
14549.091168,1000,2286.331097
14634.203901,1000,2301.920723
14784.103102,1000,2317.319512
14753.759735,1000,2333.322301
