#{"t_start": 1583763115.7034836, "env_id": "my_panda_free_space_traj"}
r,l,t
201.082075,1000,23.609014
395.518152,1000,43.994428
580.62002,1000,63.486704
927.618794,1000,82.781907
1361.548146,1000,101.757474
8673.853339,1000,120.140512
16190.371129,1000,139.144103
17684.35128,1000,159.136205
22678.888505,1000,180.178643
26862.278161,1000,200.474326
32987.547973,1000,220.131967
29101.397364,1000,239.37816
27242.277105,1000,257.756778
33811.931108,1000,276.084822
33475.900512,1000,294.469951
23456.081713,1000,312.918107
34413.642622,1000,330.857742
41643.249751,1000,349.011425
30544.249421,1000,368.097627
44359.716282,1000,387.357385
28620.148164,1000,406.217574
31382.491982,1000,424.429943
32058.430228,1000,442.704252
37566.441454,1000,461.30382
62328.266266,1000,480.572805
13775.537891,1000,500.009159
69659.903134,1000,520.184769
46309.497537,1000,539.151315
39788.945905,1000,557.275795
44401.63409,1000,575.430013
59959.399843,1000,593.068434
63103.951599,1000,611.412035
61708.646414,1000,629.16374
54834.295766,1000,647.626108
53823.498239,1000,667.002874
58811.545518,1000,686.591055
61192.19725,1000,705.671851
35308.289545,1000,724.312164
68808.81628,1000,742.560389
56129.65547,1000,761.208328
65829.526219,1000,779.910967
35984.969306,1000,799.093314
43673.129195,1000,817.911438
68649.109231,1000,837.142536
51370.750837,1000,856.448164
69693.496359,1000,875.294309
5935.674138,1000,896.143618
46959.646187,1000,915.150465
87263.6835,1000,934.812816
57220.36248,1000,953.683753
61937.204342,1000,972.657943
74442.401789,1000,990.690044
58180.995839,1000,1009.418757
96429.607833,1000,1027.662323
80929.773824,1000,1046.043167
75705.243465,1000,1064.232831
92151.526916,1000,1083.100137
54076.83158,1000,1101.393891
68532.72853,1000,1120.202527
85237.099581,1000,1138.530333
76780.955368,1000,1157.389356
88424.505567,1000,1176.153697
62898.174534,1000,1194.708263
100347.976202,1000,1212.87053
91378.353377,1000,1231.347753
82636.242716,1000,1250.256087
98854.903382,1000,1268.770906
73117.256826,1000,1287.558061
35634.090267,1000,1307.644341
66624.683812,1000,1326.61784
63863.611824,1000,1345.816032
62256.498841,1000,1365.214889
62553.624587,1000,1384.463057
76509.69185,1000,1403.921414
82627.313674,1000,1423.36676
72311.363402,1000,1442.436543
87515.29778,1000,1461.896602
108936.437871,1000,1481.021865
71452.841715,1000,1500.785518
49994.601832,1000,1519.786183
89131.926368,1000,1539.139404
105144.195807,1000,1558.336799
78480.341387,1000,1578.322796
19946.292192,1000,1597.755851
56301.196048,1000,1617.374326
76613.407917,1000,1636.618134
81200.663725,1000,1656.443658
91080.934239,1000,1675.889216
69160.560331,1000,1694.663103
80407.040703,1000,1713.695762
78862.704078,1000,1732.487211
79354.918341,1000,1750.511167
78112.904167,1000,1768.730423
18268.423198,1000,1787.185396
87408.283516,1000,1806.34452
110582.520442,1000,1825.420336
109978.326455,1000,1844.220367
104381.540329,1000,1862.584872
79410.552519,1000,1880.961287
102618.834848,1000,1898.899797
107683.304077,1000,1916.787534
33293.45216,1000,1935.621923
57251.254159,1000,1953.909218
58224.8021,1000,1973.471223
55496.892172,1000,1991.970661
98449.15895,1000,2010.489919
79197.383778,1000,2029.049812
63149.632655,1000,2047.775542
85976.91181,1000,2065.785118
65411.73363,1000,2084.040702
39522.841804,1000,2101.992493
96060.106829,1000,2120.361814
111791.697276,1000,2137.973712
73440.418088,1000,2155.916806
96352.972556,1000,2173.490463
81033.611977,1000,2191.635156
66282.169654,1000,2209.290751
111242.465084,1000,2227.564149
116078.102209,1000,2245.228377
97651.135084,1000,2263.717854
108485.821768,1000,2281.284396
109606.597858,1000,2298.976287
78972.966656,1000,2316.854598
94684.284253,1000,2335.000832
114598.785484,1000,2352.899211
51421.539277,1000,2371.323655
110902.326659,1000,2389.753462
82735.58717,1000,2408.191953
80801.211023,1000,2426.384319
113902.131478,1000,2445.029278
111528.309155,1000,2463.010921
109905.428136,1000,2481.76493
101823.867913,1000,2501.247217
49376.927427,1000,2519.950313
94665.029134,1000,2538.688944
116849.259581,1000,2557.54876
105992.355804,1000,2576.514258
112050.45828,1000,2595.218904
114918.394817,1000,2613.290585
102364.856787,1000,2631.473835
117798.854564,1000,2649.886659
77051.64506,1000,2667.686403
84021.478657,1000,2685.969017
84159.952825,1000,2703.924724
107301.477769,1000,2722.116892
90970.335926,1000,2739.748025
105347.526472,1000,2757.64021
108131.544816,1000,2775.574423
106456.29565,1000,2793.815506
83650.207702,1000,2811.955038
93732.707218,1000,2829.589566
91524.258872,1000,2847.137779
92312.248241,1000,2865.398283
72597.419372,1000,2883.473291
94764.626052,1000,2901.678555
119676.099075,1000,2919.233957
80310.099324,1000,2936.747955
108148.992801,1000,2954.286922
50172.712693,1000,2972.831304
74105.172685,1000,2990.815083
41355.558092,1000,3008.64666
53089.636183,1000,3026.60862
50176.030387,1000,3044.869555
81884.274063,1000,3062.738267
67056.984226,1000,3080.747212
59400.440622,1000,3098.699064
80303.180291,1000,3116.443752
39960.932429,1000,3134.116172
81048.404796,1000,3152.617395
96250.991391,1000,3170.482049
68547.696141,1000,3188.977041
93959.172208,1000,3206.292402
97830.802062,1000,3224.18106
80421.371594,1000,3241.685018
43170.9531,1000,3259.7187
103951.740664,1000,3277.130556
57111.877701,1000,3295.173529
70478.374177,1000,3312.941965
59841.179878,1000,3330.958252
59091.818763,1000,3348.355854
73677.956799,1000,3366.284917
84006.684726,1000,3384.189861
89387.404545,1000,3402.05375
83902.662922,1000,3419.977544
73394.814252,1000,3437.989659
72303.85648,1000,3455.958295
88155.561497,1000,3473.930329
60797.513187,1000,3491.904125
62816.199322,1000,3510.006521
49680.330583,1000,3528.118291
76996.200452,1000,3546.636232
91045.940387,1000,3565.773537
81554.422622,1000,3584.057262
106428.84271,1000,3602.771292
81166.715377,1000,3621.588502
73575.694477,1000,3640.870731
65546.827548,1000,3659.609929
98334.775477,1000,3678.643618
101417.396161,1000,3697.216709
