#{"env_id": "my_panda_free_space_traj", "t_start": 1583757058.9535146}
r,l,t
213.948107,1000,23.193292
464.708055,1000,39.711687
48.722404,1000,55.995947
382.449618,1000,71.16297
731.671537,1000,86.793733
1005.173676,1000,101.783154
2568.628724,1000,115.976325
5581.911412,1000,129.219505
6993.391593,1000,143.133065
9130.858708,1000,157.78592
11514.249023,1000,172.921049
11997.423016,1000,186.564848
14346.043213,1000,200.072133
17874.11693,1000,214.155268
18810.01323,1000,227.728441
20823.969746,1000,241.514466
22068.230166,1000,255.261006
23754.43472,1000,268.548451
25628.381735,1000,281.996127
25554.482904,1000,295.93005
23423.470327,1000,310.547109
22059.857161,1000,324.91298
25423.279809,1000,339.285584
25604.920076,1000,353.627517
25407.119231,1000,367.432541
25797.699309,1000,382.095104
34134.412835,1000,396.686525
36681.060369,1000,410.760574
33356.931756,1000,425.15971
36030.311818,1000,439.041372
31648.353435,1000,453.253575
36893.323944,1000,467.778402
36876.15637,1000,481.928066
38911.580603,1000,495.801119
42996.583153,1000,509.74215
34423.842929,1000,524.131279
36806.413311,1000,538.121871
43969.725128,1000,552.46448
50529.382277,1000,566.405539
43537.678796,1000,580.657087
47865.920887,1000,594.952677
42197.208461,1000,608.88876
61249.580176,1000,623.080399
42087.204168,1000,637.473046
52875.062749,1000,651.778804
48144.18914,1000,665.920644
62550.894726,1000,680.044198
53505.134684,1000,694.271876
63305.720224,1000,709.157774
73761.095308,1000,723.385444
52584.34866,1000,737.589951
59897.204142,1000,751.752118
47979.846991,1000,766.387289
63741.94803,1000,780.272117
86821.063981,1000,794.764073
45460.678476,1000,808.870514
53491.022836,1000,823.366406
83350.558981,1000,837.312334
65530.636912,1000,851.439797
60474.714754,1000,865.895837
68222.842465,1000,880.064482
82787.073057,1000,893.979663
60686.399345,1000,907.858772
63248.400481,1000,922.437457
52855.209548,1000,936.865098
57995.172771,1000,950.721462
67297.712821,1000,964.685129
74412.210915,1000,979.32799
65739.818818,1000,993.798579
64183.843509,1000,1008.882247
55617.276253,1000,1023.798797
75511.61596,1000,1038.400069
71022.958686,1000,1052.825296
46763.889648,1000,1067.497329
68496.860405,1000,1081.526677
69117.32252,1000,1096.122993
105955.012357,1000,1110.772622
96985.15897,1000,1126.061276
61130.329557,1000,1140.876114
81747.516728,1000,1156.11335
68994.505254,1000,1170.901821
89964.576031,1000,1186.045632
79258.344192,1000,1200.985168
62213.221993,1000,1216.102277
91552.977623,1000,1231.271886
58190.519358,1000,1246.401224
88343.892338,1000,1261.433317
19101.880434,1000,1276.393509
26532.059845,1000,1291.466618
82447.957618,1000,1306.586997
37274.687212,1000,1321.666601
30042.218224,1000,1336.637123
39704.502808,1000,1351.427456
103252.93751,1000,1366.336818
63187.46868,1000,1381.447198
83701.471974,1000,1396.386225
95241.434626,1000,1411.704903
87831.475594,1000,1426.848501
82537.392089,1000,1442.225619
68351.124447,1000,1457.289267
73394.630593,1000,1472.406579
122492.6287,1000,1487.291879
123728.270861,1000,1502.757779
42743.585221,1000,1518.059826
39839.230883,1000,1533.086164
32739.169921,1000,1548.279204
40887.645239,1000,1563.624227
18283.717623,1000,1578.683336
15451.558435,1000,1593.923266
10416.310649,1000,1609.257303
3359.244221,1000,1624.849466
2762.837059,1000,1640.003825
2750.450134,1000,1655.282986
2417.856177,1000,1670.494823
2641.481063,1000,1685.558567
2452.369477,1000,1700.793853
2747.051279,1000,1716.052037
2918.937524,1000,1731.63343
2801.149512,1000,1746.860307
2437.240436,1000,1762.331907
2529.015612,1000,1777.658253
2727.616704,1000,1793.229388
3332.668023,1000,1808.638793
3788.047387,1000,1824.215207
3732.823751,1000,1839.354673
3911.165002,1000,1854.462541
5838.107055,1000,1869.56519
6113.165346,1000,1885.080701
8629.178369,1000,1900.197492
9174.068861,1000,1915.531327
10334.381331,1000,1930.650496
11512.659385,1000,1946.267512
11401.463788,1000,1961.503262
12249.037964,1000,1976.696234
11914.557837,1000,1992.11079
12923.25351,1000,2007.546192
14755.553277,1000,2022.891602
15547.557376,1000,2038.226709
18686.115187,1000,2053.516368
18666.334331,1000,2068.749816
19499.074127,1000,2084.12219
19404.210673,1000,2099.54133
20093.995963,1000,2115.025543
20429.67663,1000,2130.329326
21381.6018,1000,2145.953995
23039.193215,1000,2161.156746
22594.984457,1000,2176.499989
21335.910754,1000,2191.669379
22289.546793,1000,2207.344382
22334.055713,1000,2222.86394
25208.228055,1000,2238.593062
23139.673511,1000,2254.033621
23550.449584,1000,2269.606889
24515.342421,1000,2285.164565
26182.627306,1000,2300.753986
26010.360772,1000,2316.173042
27439.564651,1000,2331.717647
26203.823124,1000,2347.237862
27831.984295,1000,2362.472637
28202.551891,1000,2377.835736
29763.99073,1000,2393.247288
27385.49491,1000,2409.059324
27875.168364,1000,2424.844008
27138.718723,1000,2440.429381
28699.810819,1000,2455.968982
32680.843451,1000,2471.441092
32948.161533,1000,2486.845988
35269.526236,1000,2502.064923
38695.049698,1000,2517.73695
30634.712537,1000,2533.396219
34885.881377,1000,2548.735022
37817.573139,1000,2564.157207
31703.987639,1000,2579.557888
40648.117905,1000,2595.247884
36405.672833,1000,2610.925343
42380.990257,1000,2626.260835
40329.928578,1000,2642.069615
42746.174781,1000,2657.388905
44273.617072,1000,2673.188427
43823.741699,1000,2688.524415
44878.848534,1000,2704.02925
43182.092184,1000,2719.467584
38016.846951,1000,2734.795632
31971.761957,1000,2750.156121
31396.408802,1000,2765.492865
43336.080318,1000,2781.215328
40330.772834,1000,2797.08825
38428.083977,1000,2812.421006
41860.752038,1000,2827.836573
27829.802928,1000,2843.242553
44936.997553,1000,2859.09124
35378.705484,1000,2874.277317
34176.958663,1000,2889.884101
34629.650094,1000,2905.043483
35517.964568,1000,2920.389904
40703.089876,1000,2935.745943
36270.076344,1000,2950.80609
29904.03896,1000,2966.087833
46253.678193,1000,2981.620486
48812.08977,1000,2997.212966
42171.589918,1000,3012.52236
42131.363827,1000,3027.758196
40535.632965,1000,3043.515251
50719.861505,1000,3059.039024
41016.398735,1000,3074.582804
47457.069271,1000,3090.033656
40431.30156,1000,3105.691008
43801.109707,1000,3121.379827
54408.040189,1000,3136.71623
34264.36001,1000,3152.324155
48538.411968,1000,3167.76061
50031.92604,1000,3183.385802
39092.181082,1000,3198.612564
46411.370205,1000,3213.832041
41050.013922,1000,3229.111852
39863.252646,1000,3244.614573
43851.853415,1000,3259.69701
49670.182499,1000,3275.073256
43497.951416,1000,3290.657648
49866.836602,1000,3306.427164
51694.654124,1000,3322.014585
37556.136261,1000,3337.155326
44197.931093,1000,3352.486526
40046.671671,1000,3367.99299
56992.308922,1000,3383.652075
48957.055581,1000,3398.90476
41440.357573,1000,3414.349406
45301.884049,1000,3429.768421
47749.783436,1000,3445.17403
48246.265825,1000,3460.565336
46089.239371,1000,3475.788453
45421.017678,1000,3491.132741
59948.311821,1000,3506.854042
47376.562876,1000,3521.953685
36699.872736,1000,3537.249768
48402.136626,1000,3552.466793
46506.18389,1000,3568.003978
48311.661099,1000,3583.167973
52083.601068,1000,3598.490411
42277.134184,1000,3613.715458
48790.02506,1000,3629.103207
54342.389403,1000,3644.593639
52716.634026,1000,3659.925453
50361.099578,1000,3675.364096
40340.730872,1000,3690.581871
55220.359614,1000,3705.95982
55035.88029,1000,3721.17403
60731.446723,1000,3736.150698
46065.945066,1000,3751.450749
52728.147934,1000,3766.880558
