#{"env_id": "my_panda_free_space_traj", "t_start": 1584647276.7689512}
r,l,t
477.369633,1000,9.056577
405.460519,1000,15.113984
562.295179,1000,21.160559
555.275331,1000,27.00831
632.478821,1000,33.053986
1021.931344,1000,38.539232
1749.402837,1000,44.398739
1706.77178,1000,50.04171
1641.0135,1000,56.135285
2173.765854,1000,62.194838
1976.504537,1000,67.931936
2240.744572,1000,73.893425
2309.95379,1000,80.289662
2200.921248,1000,86.431706
2109.523192,1000,92.726026
2447.26621,1000,98.949282
2825.202185,1000,105.3204
2931.93785,1000,111.263356
3535.403741,1000,117.243419
2804.155951,1000,123.735404
3122.827821,1000,129.913863
3918.036148,1000,136.622334
3522.16727,1000,143.184655
2897.872419,1000,149.14242
4024.963711,1000,155.813805
2727.254176,1000,162.032357
3341.928355,1000,167.998909
2771.457348,1000,174.196225
2949.193614,1000,180.229319
3171.049036,1000,186.695731
3316.787915,1000,192.729503
3038.426252,1000,198.784945
3166.791442,1000,205.195824
3713.334986,1000,210.95799
3523.283564,1000,217.002261
5691.370201,1000,223.69343
5193.279847,1000,230.325702
4603.009037,1000,236.406249
5045.054346,1000,242.790304
3387.054451,1000,249.02805
6974.48924,1000,254.723471
5606.289833,1000,261.215467
5816.238417,1000,267.801719
5932.956937,1000,273.129039
8177.739254,1000,278.539128
8576.160154,1000,284.779611
7013.19287,1000,291.794252
8526.12692,1000,297.134475
6769.17297,1000,302.658395
6998.954802,1000,308.234357
7123.118514,1000,314.817102
8363.280263,1000,321.480062
8437.490761,1000,328.244158
9981.121631,1000,333.366094
9139.320332,1000,338.655417
10511.390484,1000,343.748427
9921.228883,1000,349.203201
10744.884803,1000,355.106625
10737.737658,1000,360.621777
10840.52179,1000,366.102409
11471.170128,1000,372.216325
9698.313724,1000,377.505067
9150.629465,1000,384.012823
10087.532443,1000,389.941728
10765.266401,1000,396.529274
9617.706635,1000,402.52074
9830.156625,1000,407.970513
9548.561916,1000,413.160132
9862.229801,1000,419.154125
11547.76692,1000,425.273918
11309.274648,1000,431.59432
12007.782895,1000,437.126875
9614.91277,1000,442.664139
9248.1125,1000,447.840543
8892.330853,1000,453.119547
9104.547549,1000,459.143633
9429.593861,1000,464.728176
9190.624209,1000,470.808535
10777.378146,1000,477.224748
12293.065438,1000,483.831432
12691.121224,1000,490.489996
11904.698231,1000,496.116421
14504.526793,1000,501.744777
12987.621937,1000,507.854536
12612.510915,1000,513.494424
12435.083336,1000,518.980774
11782.649375,1000,524.517126
12868.460942,1000,529.727786
11845.391753,1000,535.895139
11809.327758,1000,542.252964
12819.449205,1000,547.529902
12882.655573,1000,552.892389
12125.697179,1000,558.359336
12035.704558,1000,563.598487
14310.970057,1000,569.636188
13970.559526,1000,575.033863
13143.175185,1000,580.509529
13126.01886,1000,585.729704
14276.945311,1000,591.158178
13528.507942,1000,596.805363
15845.233109,1000,602.800469
15410.727795,1000,608.373718
15091.206924,1000,614.400364
14824.719569,1000,620.645385
15444.424851,1000,626.537825
14273.334727,1000,632.601562
14511.527088,1000,638.46551
15317.275557,1000,644.189764
15119.930927,1000,650.647685
16039.859993,1000,657.195358
16603.364597,1000,662.995335
14226.40631,1000,668.413042
16953.440083,1000,673.778242
15629.471947,1000,679.491617
