#{"t_start": 1584833406.9641721, "env_id": "my_panda_free_space_traj"}
r,l,t
187.309462,500,14.1175
288.902788,500,23.097237
231.034265,500,32.220795
214.539973,500,40.966901
379.775991,500,49.488922
478.399186,500,57.962644
905.447692,500,66.545885
1483.325626,500,74.719147
1818.002707,500,83.15422
1537.903514,500,91.278679
1625.504162,500,99.385334
1760.77862,500,107.429457
1872.12835,500,115.658189
1915.552876,500,123.66611
2265.185512,500,131.701756
2285.879567,500,139.946292
3095.796913,500,147.929444
3407.184545,500,155.881944
3997.690714,500,163.856646
4685.446064,500,172.034442
4279.267898,500,180.005365
4827.471337,500,187.966642
5019.057392,500,196.144482
5484.357817,500,204.062899
5834.791044,500,212.053613
5910.555442,500,220.256639
6163.440488,500,228.201379
6308.668214,500,236.123121
6473.706453,500,244.080765
6906.983507,500,252.231896
6803.339541,500,260.176134
6802.449438,500,268.111816
6622.906752,500,276.349794
7024.988624,500,284.262677
7103.608569,500,292.223455
6961.979758,500,300.151029
7124.378762,500,308.357848
7036.288279,500,316.259234
7128.502269,500,324.384606
7247.794492,500,332.324041
7375.421463,500,340.442726
7271.004725,500,348.368062
7259.650446,500,356.582736
7150.278368,500,364.617119
7239.539396,500,372.702538
7355.54937,500,381.03252
7172.847952,500,389.082816
7402.863887,500,397.131222
7416.812924,500,405.173991
7371.211308,500,413.466796
7445.225552,500,421.542822
7350.51944,500,429.59784
7450.401271,500,437.882575
7439.931039,500,445.911636
7226.487858,500,454.01478
7399.330385,500,462.399312
7590.323079,500,470.503876
7382.074717,500,478.409351
7431.047425,500,486.545094
7504.82614,500,494.492598
7503.198718,500,502.578605
7197.484877,500,510.608448
7287.109289,500,518.723692
7507.15852,500,526.637242
7447.836796,500,534.570986
7371.003572,500,542.75216
7479.190744,500,550.655496
7526.758549,500,558.551483
7455.990917,500,566.690426
7479.852637,500,574.627959
7259.83515,500,582.581763
7624.157314,500,590.486963
7600.9844,500,598.594063
7678.036008,500,606.661784
7612.644277,500,614.403614
7577.407724,500,622.344922
7589.648226,500,630.05945
7562.304288,500,637.771757
7531.960979,500,645.48745
7546.253695,500,653.404653
7575.050298,500,661.278835
7690.201433,500,669.125181
7535.174294,500,677.250007
7563.780396,500,685.112365
7338.948912,500,693.002349
7494.5536,500,700.873673
7311.90441,500,708.914577
7456.543268,500,716.765965
7608.59288,500,724.734204
7634.651045,500,732.6863
7692.358846,500,740.41226
7578.573597,500,748.104175
7626.173348,500,756.116849
7655.804241,500,763.84858
7693.015974,500,771.554599
7601.886712,500,779.276213
7640.35472,500,787.164172
7690.815472,500,794.834943
7762.330916,500,802.587482
7760.83093,500,810.511021
7731.1666,500,818.265145
7695.537196,500,825.961141
7693.787526,500,833.672313
7688.498148,500,841.564549
7663.107672,500,849.314482
7803.974062,500,857.251119
7738.443945,500,864.960032
7602.464429,500,872.66852
7670.786469,500,880.46264
7698.302467,500,888.379964
7727.445441,500,896.049286
7652.768325,500,903.741957
7714.570941,500,911.670515
7716.064262,500,919.520059
7602.009209,500,927.222154
7402.732518,500,934.952938
7740.771673,500,942.839075
7770.054944,500,950.529402
7770.931339,500,958.23411
7805.50611,500,966.253349
7757.99109,500,974.067886
7758.787426,500,981.766886
7470.136313,500,989.723489
7787.582745,500,997.573704
7798.349138,500,1005.437726
7620.495333,500,1013.338895
7780.963284,500,1021.377151
7623.682596,500,1029.226654
7765.053531,500,1036.955733
7785.700305,500,1044.870199
7668.466107,500,1052.594643
7781.775418,500,1060.309151
7766.120828,500,1068.149877
7770.826884,500,1076.158932
7826.760855,500,1084.002063
7549.103463,500,1092.019676
7678.828574,500,1099.903609
7758.499125,500,1108.059207
7797.802475,500,1116.200492
7770.442438,500,1124.189537
7752.932975,500,1132.417777
7674.855578,500,1140.241998
7777.136574,500,1148.167443
7630.295152,500,1155.920442
7672.549411,500,1163.6145
7742.674321,500,1171.350117
7779.202651,500,1179.28044
7598.106123,500,1187.003784
7818.641115,500,1194.732823
7711.134311,500,1202.67655
7697.031361,500,1210.383375
7641.287182,500,1218.079922
7757.129343,500,1225.994569
7769.803892,500,1233.71378
7626.716155,500,1241.442663
7668.52898,500,1249.192941
7775.365305,500,1257.145604
7799.665153,500,1264.826421
7756.103045,500,1272.546759
7854.856655,500,1280.538492
7841.858877,500,1288.44261
7721.826003,500,1296.35002
7710.295142,500,1304.316677
7802.4857,500,1312.082425
7859.100228,500,1319.825846
7767.186263,500,1327.596095
7696.543433,500,1335.56478
7751.820201,500,1343.291008
7801.176463,500,1350.993154
7568.957184,500,1358.718898
7682.823213,500,1366.665743
7809.426488,500,1374.366477
7759.636231,500,1382.074089
7817.926055,500,1389.990833
7635.429114,500,1397.687134
7784.900027,500,1405.359972
7809.04142,500,1413.268084
7754.896903,500,1420.958392
7779.822913,500,1428.631946
7787.812811,500,1436.332432
7646.208315,500,1444.233561
7800.969327,500,1451.93848
7695.171775,500,1459.628223
7857.356342,500,1467.537378
7783.510031,500,1475.257589
7812.989652,500,1482.964801
7845.948422,500,1490.670366
7633.370975,500,1498.573968
7845.275452,500,1506.279741
7738.756516,500,1514.213616
7789.070199,500,1522.081415
7675.398991,500,1529.844244
7777.119833,500,1537.743275
7742.50689,500,1545.837155
7772.258006,500,1553.560572
7860.926209,500,1561.306437
7760.1633,500,1569.236258
7633.964676,500,1577.000254
7801.96886,500,1584.751573
7660.808483,500,1592.529514
7857.875232,500,1600.718828
7742.203478,500,1608.598344
7810.174099,500,1616.433035
7782.761923,500,1624.489703
7798.906345,500,1632.314561
7704.926621,500,1640.16382
7728.585119,500,1648.207225
7838.21689,500,1656.03852
7705.607156,500,1663.861891
7697.612115,500,1671.701042
7731.718448,500,1679.728887
7759.913362,500,1687.553734
7812.269938,500,1695.403723
7731.57398,500,1703.434353
7707.245486,500,1711.258343
7689.582181,500,1719.103595
7790.340051,500,1726.982767
7721.142651,500,1735.059175
7687.865386,500,1742.920844
7699.755955,500,1750.970149
7747.542358,500,1758.842802
7725.848177,500,1766.669366
7666.756726,500,1774.517064
7787.064904,500,1782.55443
7846.288242,500,1790.373394
7552.379523,500,1798.213973
7739.783864,500,1806.270094
7718.955262,500,1814.09639
7813.216712,500,1821.931955
7800.391955,500,1829.786902
7787.338894,500,1837.841811
7628.505573,500,1845.705729
7813.298893,500,1853.503693
7703.005603,500,1861.429929
7821.930452,500,1869.147311
7608.625002,500,1876.873351
7746.24648,500,1884.80446
7751.799135,500,1892.51011
7747.611788,500,1900.230058
7711.733942,500,1907.958754
7713.635387,500,1915.922324
7700.618714,500,1923.63881
7814.175136,500,1931.350186
7610.761753,500,1939.290446
7574.060248,500,1947.01051
7712.149471,500,1954.763801
7756.341329,500,1962.491866
7736.213075,500,1970.406366
7824.433768,500,1978.110555
7757.649716,500,1986.046006
