#{"env_id": "my_panda_free_space_traj", "t_start": 1584824059.7424505}
r,l,t
494.298798,1000,20.343308
828.913543,1000,35.337917
1844.626661,1000,50.016048
3395.735776,1000,65.123414
4857.867965,1000,80.728096
6454.337853,1000,96.576946
8253.815846,1000,112.359837
9443.103015,1000,128.439506
11674.632568,1000,144.287486
11537.376469,1000,160.24318
10912.176648,1000,176.334977
13071.965721,1000,192.210639
15877.418474,1000,208.222864
16879.916968,1000,224.822461
18292.004846,1000,241.180573
19840.677188,1000,257.045868
21029.906378,1000,273.502035
24961.150229,1000,289.745081
22627.400194,1000,305.594088
23923.200824,1000,321.059099
29456.416194,1000,336.963223
28667.170208,1000,352.028935
31144.83183,1000,367.1504
33501.325537,1000,382.22869
34502.244151,1000,397.989444
35733.573448,1000,413.157756
38570.042252,1000,428.246712
38678.715949,1000,444.002682
40527.194419,1000,459.308278
37829.021095,1000,474.51677
37532.417267,1000,489.529656
41925.029222,1000,504.781559
45261.028208,1000,519.725536
46410.857229,1000,534.992766
43140.020437,1000,550.42971
45206.143715,1000,565.782574
